,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.85,1.34,1.65,2.0,4.06,22.94,30.57,45.03,35.35,49.18,56.62,82.05,103.97,161.12,173.62
f_1,1.19,1.0,1.16,1.33,1.64,4.01,15.17,28.01,26.87,28.82,44.44,39.71,63.92,89.32,107.94,120.73
d_1,0.74,0.85,1.0,0.96,1.26,2.93,15.67,17.28,23.94,34.56,34.04,35.29,62.39,71.87,77.33,103.3
c_1,0.61,0.76,1.03,1.0,2.18,2.64,14.74,20.77,15.92,21.97,24.78,31.74,57.52,65.8,91.49,104.78
b_1,0.5,0.6,0.78,0.46,1.0,3.04,10.3,15.36,12.77,20.64,25.42,24.02,43.91,51.34,65.58,71.49
a_1,0.24,0.25,0.34,0.38,0.33,1.0,5.91,7.08,7.54,9.08,13.6,12.38,21.73,23.94,33.31,35.39
h_1,0.04,0.06,0.06,0.07,0.1,0.17,1.0,1.59,1.46,1.58,2.22,2.13,4.23,5.15,7.64,6.6
g_1,0.03,0.03,0.06,0.05,0.07,0.15,0.64,1.0,0.97,0.99,1.54,1.91,2.56,3.39,4.64,5.31
d_0,0.02,0.04,0.04,0.07,0.08,0.13,0.67,1.01,1.0,1.01,1.49,1.45,3.22,3.34,5.08,4.37
c_0,0.03,0.04,0.03,0.05,0.05,0.11,0.61,0.98,0.97,1.0,2.01,1.23,2.71,2.88,4.22,4.43
b_0,0.02,0.02,0.03,0.04,0.04,0.07,0.46,0.64,0.62,0.52,1.0,0.95,1.66,2.97,2.56,2.96
f_0,0.02,0.02,0.03,0.03,0.04,0.08,0.48,0.53,0.67,0.79,1.04,1.0,1.91,2.26,2.57,4.37
h_0,0.01,0.02,0.02,0.02,0.02,0.04,0.23,0.41,0.31,0.37,0.6,0.51,1.0,1.11,1.99,1.62
a_0,0.01,0.01,0.01,0.02,0.02,0.04,0.2,0.29,0.31,0.35,0.35,0.47,0.92,1.0,1.3,1.25
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.13,0.21,0.2,0.24,0.37,0.41,0.51,0.77,1.0,1.07
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.15,0.18,0.21,0.23,0.35,0.23,0.63,0.81,0.83,1.0
