,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.91,1.24,1.96,2.44,3.23,23.31,28.91,35.35,48.01,39.86,55.57,77.85,81.54,106.21,121.53
f_1,1.11,1.0,1.03,1.62,1.92,3.03,15.29,24.34,27.93,30.84,33.43,39.4,59.58,64.6,62.33,94.51
d_1,0.8,0.98,1.0,1.22,1.84,2.76,17.35,31.73,22.95,29.12,31.61,37.4,61.65,63.04,89.13,74.36
c_1,0.51,0.62,0.81,1.0,1.78,1.91,12.36,15.4,21.98,14.82,22.14,25.95,43.1,38.61,51.38,58.78
b_1,0.41,0.52,0.55,0.57,1.0,2.15,9.42,12.49,13.84,14.27,15.39,19.08,33.73,29.97,42.67,49.34
a_1,0.31,0.33,0.36,0.51,0.46,1.0,6.77,9.2,10.8,10.09,14.6,16.17,26.6,30.76,30.83,35.45
h_1,0.04,0.06,0.06,0.08,0.1,0.14,1.0,1.28,1.93,1.66,1.89,2.23,3.66,3.62,4.5,5.89
c_0,0.03,0.04,0.03,0.06,0.08,0.11,0.79,1.0,1.23,1.36,1.82,1.62,2.81,3.03,3.21,3.8
g_1,0.03,0.04,0.04,0.05,0.07,0.09,0.52,0.82,1.0,0.94,1.18,1.6,1.83,2.4,2.73,2.96
d_0,0.02,0.03,0.03,0.07,0.07,0.09,0.6,0.73,1.04,1.0,1.18,1.23,2.25,2.23,2.69,3.28
b_0,0.03,0.03,0.03,0.05,0.06,0.06,0.54,0.56,0.83,0.83,1.0,1.13,1.8,3.09,2.44,2.62
f_0,0.02,0.03,0.03,0.04,0.05,0.07,0.45,0.6,0.61,0.78,0.85,1.0,1.76,1.85,2.81,1.94
h_0,0.01,0.02,0.02,0.02,0.03,0.04,0.27,0.35,0.55,0.45,0.58,0.56,1.0,0.96,1.12,1.55
a_0,0.01,0.02,0.02,0.03,0.03,0.03,0.28,0.34,0.43,0.46,0.34,0.55,1.05,1.0,1.13,1.26
e_0,0.01,0.02,0.01,0.02,0.02,0.03,0.22,0.31,0.36,0.38,0.43,0.36,0.88,0.85,1.0,1.12
g_0,0.01,0.01,0.01,0.02,0.02,0.03,0.17,0.26,0.36,0.29,0.4,0.53,0.65,0.74,0.87,1.0
