,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.66,1.32,1.19,1.33,1.2,1.31,0.45,0.4,0.56,0.44,0.41,0.54,0.28,0.41,0.41,0.36
e_1,0.87,0.66,1.33,1.6,1.35,1.14,0.67,0.52,0.64,0.63,0.48,0.67,0.43,0.5,0.41,0.66
d_1,1.57,1.57,0.65,1.21,1.2,1.04,0.53,0.58,0.42,0.65,0.51,0.45,0.39,0.37,0.28,0.43
c_1,1.46,1.1,1.52,0.64,1.42,1.16,0.68,0.59,0.56,0.31,0.44,0.42,0.39,0.45,0.39,0.4
b_1,1.75,1.53,1.38,0.89,0.62,1.61,0.72,0.67,0.62,0.57,0.94,0.52,0.5,0.48,0.42,0.46
a_1,1.53,1.97,2.05,1.71,0.96,0.56,0.75,0.68,0.87,0.71,0.72,0.62,0.55,0.91,0.6,0.6
h_1,2.38,1.8,1.96,1.83,1.72,1.7,0.57,0.68,0.89,0.78,0.81,0.63,0.75,0.64,0.64,0.67
c_0,2.53,2.23,1.33,3.14,2.12,1.99,1.11,0.6,1.0,1.17,1.01,0.78,0.66,0.83,0.62,0.68
g_1,2.25,2.09,2.41,2.44,2.4,1.62,0.81,0.65,0.54,0.75,0.78,0.76,0.46,0.79,0.64,0.84
d_0,2.32,1.31,3.43,2.74,2.37,2.1,0.97,0.69,1.1,0.61,0.78,0.79,0.74,0.75,0.68,0.73
b_0,2.49,2.18,2.06,3.17,2.75,1.84,0.99,0.51,1.09,0.83,0.57,0.82,0.68,1.08,0.67,0.76
f_0,3.83,2.03,2.34,2.63,2.16,1.96,1.2,0.79,0.75,0.87,0.77,0.58,0.68,0.84,0.45,0.93
h_0,2.78,2.4,2.54,2.36,2.32,1.94,1.47,0.89,1.46,0.93,0.83,0.92,0.91,0.83,0.77,0.75
a_0,3.02,2.3,2.79,2.98,2.95,2.5,1.51,0.89,1.01,0.92,0.54,0.87,0.88,0.57,0.81,0.99
g_0,2.61,2.54,3.15,2.63,2.75,2.1,0.91,1.07,1.73,0.9,0.93,1.21,0.72,0.89,0.94,0.95
e_0,3.92,3.38,2.38,3.03,2.74,2.42,1.35,0.95,1.09,0.92,1.1,0.55,1.02,0.94,0.67,0.55
