,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,2.5,1.44,2.39,1.72,1.58,1.45,3.02,3.07,3.62,3.35,3.02,3.25,4.1,4.64,3.95,2.62
d_1,1.85,2.52,1.75,1.48,1.67,1.49,3.04,3.16,3.12,5.26,3.56,4.35,4.86,4.15,3.97,3.74
e_1,1.55,1.47,2.52,1.93,1.65,1.81,3.32,3.36,5.53,3.62,3.88,4.01,4.72,4.59,4.16,4.0
c_1,1.6,1.72,1.46,2.6,2.57,1.6,3.16,3.0,2.91,2.77,3.53,2.96,4.58,4.58,3.35,3.73
b_1,1.74,1.62,1.63,1.53,2.72,2.79,3.42,3.24,3.31,3.62,3.67,3.27,4.26,4.78,3.04,4.09
a_1,1.82,1.85,1.56,1.92,1.36,3.34,3.36,3.48,3.87,3.44,4.09,4.23,4.9,4.67,3.22,4.29
h_1,2.04,1.79,1.62,1.77,1.64,1.66,4.29,3.82,3.66,3.4,3.48,3.92,3.97,5.47,3.56,4.02
g_1,1.6,2.22,1.53,1.76,1.81,1.76,2.91,4.65,3.1,4.0,4.57,4.24,4.37,3.87,3.49,4.43
d_0,1.68,1.66,1.44,2.57,1.97,1.59,3.36,3.45,4.44,2.86,3.44,3.49,4.23,4.84,4.24,3.62
c_0,1.85,1.63,1.66,1.77,1.58,1.95,3.68,3.52,4.35,4.67,4.2,5.9,4.99,4.69,4.95,4.62
f_0,1.62,2.01,1.52,1.76,1.75,1.82,3.48,3.73,3.75,4.09,4.84,4.12,5.12,4.24,4.08,6.75
b_0,2.02,1.88,1.56,1.91,1.59,1.51,3.4,3.24,3.79,3.17,3.99,4.82,5.31,4.78,6.53,3.98
h_0,2.12,1.78,1.71,1.64,1.74,1.71,2.99,3.67,3.55,3.5,3.8,3.8,4.1,5.58,3.77,3.72
g_0,1.49,2.24,1.66,1.71,1.61,1.79,3.28,3.34,3.49,3.84,4.76,4.07,4.08,4.17,4.22,4.04
a_0,1.76,1.92,1.65,1.81,1.69,1.57,3.89,3.6,3.76,3.4,4.28,3.51,5.28,4.98,5.56,4.07
e_0,2.0,1.95,1.15,1.83,1.76,1.77,3.69,3.48,3.53,3.7,3.51,4.3,5.28,5.24,4.34,5.65
