,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.75,0.86,0.71,0.95,0.77,0.82,1.04,1.46,0.95,0.96,1.0,1.01,0.95,1.0,0.97,0.76
f_1,1.35,1.84,0.78,0.82,0.67,0.61,0.85,1.01,0.88,0.92,0.96,0.65,0.92,0.97,0.9,0.57
d_1,0.78,0.9,1.96,0.65,0.71,0.74,1.03,0.77,1.0,1.57,1.2,1.04,1.05,1.05,1.04,1.21
c_1,0.73,0.8,0.81,1.9,1.29,0.84,0.94,0.88,0.81,0.59,0.73,0.88,0.94,0.86,0.94,0.97
b_1,0.73,0.79,0.83,0.8,2.05,1.38,1.0,0.85,0.92,0.93,0.72,1.01,0.97,0.68,0.87,1.12
a_1,0.68,0.8,0.87,0.92,0.93,2.83,0.89,0.91,0.98,1.02,1.0,1.06,1.04,0.84,0.95,0.95
h_1,0.82,1.14,0.98,0.8,0.74,0.65,1.8,0.99,1.29,1.0,1.0,1.03,0.81,1.18,1.51,1.12
d_0,0.86,0.86,0.68,1.44,0.91,0.84,0.92,1.41,0.97,0.71,0.96,0.97,1.14,1.0,0.89,0.9
g_1,0.76,0.75,1.26,0.93,0.8,0.75,0.94,0.87,2.23,1.02,1.04,1.58,1.04,1.11,1.03,1.31
c_0,0.93,0.92,0.89,0.82,0.79,0.83,1.04,1.13,1.18,1.46,1.94,1.22,1.2,1.45,1.17,1.05
b_0,1.0,0.97,0.88,0.96,0.68,0.53,1.15,0.99,1.18,0.96,1.71,1.12,1.3,2.16,1.12,1.06
f_0,0.64,0.7,1.09,0.92,0.92,0.92,1.14,1.01,1.18,1.01,1.13,1.74,1.18,1.12,1.29,2.32
h_0,0.88,1.12,0.96,0.88,0.88,0.75,0.76,0.88,1.3,0.91,1.07,1.04,0.89,1.18,1.26,1.08
a_0,0.91,1.05,1.03,0.9,0.73,0.48,1.12,0.94,1.19,1.03,1.24,1.19,1.27,2.17,1.4,1.0
g_0,0.7,0.81,1.43,0.8,0.86,0.8,0.91,0.73,0.81,1.04,1.04,1.55,1.07,0.85,0.97,1.2
e_0,0.68,1.05,1.08,0.91,0.79,0.69,1.16,0.85,1.16,0.96,1.14,1.13,1.11,1.03,1.26,2.17
