,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.93,0.18,0.08,0.1,0.08,0.08,0.06,0.07,0.05,0.06,,0.06,0.05,0.04,0.03,0.06
e_1,0.09,0.93,0.1,0.08,0.08,0.07,0.06,0.11,0.07,0.06,0.05,0.06,0.08,,0.05,0.04
c_1,0.13,0.1,0.93,0.09,0.14,0.08,0.07,0.07,0.06,,0.06,0.05,0.07,,0.04,0.07
d_1,0.1,0.13,0.11,0.93,0.08,0.07,0.09,,0.06,0.1,0.08,0.05,0.05,0.04,0.05,0.04
b_1,0.13,0.12,0.09,0.12,0.93,0.11,0.07,0.08,0.06,0.06,0.06,,0.07,,0.05,0.05
a_1,0.13,0.12,0.14,0.11,0.09,0.93,0.08,0.1,0.06,,0.06,,0.08,0.05,,0.06
h_1,0.45,0.25,0.32,0.22,0.26,0.16,0.71,0.18,0.23,0.23,0.12,0.15,,0.1,0.13,0.15
d_0,0.43,0.32,0.44,,0.29,0.2,0.24,0.58,0.18,0.25,0.25,0.16,0.23,0.1,0.14,0.2
g_1,0.37,0.24,0.22,0.43,0.23,0.2,0.17,0.2,0.71,0.14,0.29,0.16,0.14,,0.14,
c_0,0.39,0.42,,0.35,0.28,,0.22,0.18,0.22,0.57,0.27,0.33,0.2,0.15,0.15,0.13
f_0,,0.41,0.35,0.31,0.32,0.24,0.28,0.22,0.16,0.23,0.58,0.21,0.26,0.26,,0.18
b_0,0.38,0.43,0.46,0.31,,,0.26,0.26,0.25,0.21,0.22,0.57,0.24,0.12,0.21,0.18
h_0,0.67,0.44,0.47,0.47,0.43,0.28,,0.3,0.36,0.3,0.25,0.32,,0.17,0.15,0.24
e_0,0.35,,,0.47,,0.34,0.31,0.39,,0.29,0.18,0.31,0.26,0.58,,0.24
a_0,0.54,0.34,0.39,0.37,0.29,,0.27,0.29,0.21,0.29,,0.21,0.25,,0.58,
g_0,0.4,0.59,0.41,0.72,0.51,0.33,0.37,0.24,,0.37,0.39,0.28,0.29,0.22,,
