,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.05,1.2,1.62,1.87,1.62,1.33,0.68,0.65,0.64,0.49,0.49,0.6,0.38,0.44,0.39,0.56
f_1,1.81,1.05,1.56,1.72,1.41,1.41,0.49,0.68,0.53,0.44,0.46,0.57,0.29,0.43,0.33,0.38
d_1,2.04,2.0,1.05,1.78,1.58,1.44,0.72,0.49,0.76,0.67,0.54,0.55,0.41,0.44,0.3,0.44
c_1,1.55,1.95,1.99,1.05,2.23,1.62,0.7,0.69,0.37,0.58,0.46,0.48,0.41,0.45,0.39,0.43
b_1,2.24,2.39,2.36,1.29,1.06,2.08,0.8,0.81,0.59,0.8,0.86,0.62,0.51,0.61,0.55,0.46
a_1,3.19,3.0,2.89,3.17,1.63,1.06,1.36,1.05,1.04,0.93,1.07,0.85,0.71,1.06,0.61,0.7
h_1,4.73,5.78,4.36,4.77,4.52,3.68,1.27,1.78,1.47,1.27,1.29,1.27,1.29,1.22,1.11,1.07
g_1,5.78,5.52,6.1,5.36,4.92,4.87,1.68,1.27,1.63,1.53,1.42,1.67,0.99,1.28,1.26,1.26
d_0,3.84,5.63,6.16,6.27,6.36,4.45,2.17,2.43,1.42,1.51,1.71,1.61,1.59,1.4,1.54,1.37
c_0,6.08,6.71,3.88,7.37,5.26,4.69,2.41,2.4,2.18,1.41,2.19,1.7,1.47,1.55,1.33,1.53
b_0,6.44,6.66,5.44,9.5,7.44,4.96,2.34,2.36,2.12,1.19,1.4,1.79,1.38,1.95,1.24,1.58
f_0,6.36,9.1,6.34,6.29,5.94,4.7,2.64,1.73,2.08,2.09,1.79,1.38,1.62,1.81,1.11,1.96
h_0,8.47,8.65,7.55,7.97,7.19,5.49,3.26,3.05,2.14,2.21,2.42,2.05,2.2,1.82,1.87,1.69
a_0,8.02,9.06,8.27,9.37,9.14,9.28,3.19,3.15,2.72,2.27,1.63,2.6,2.12,1.49,1.74,1.75
g_0,9.37,11.36,9.64,10.36,9.07,6.84,2.88,3.65,2.79,2.54,2.61,2.71,1.59,2.38,2.11,2.01
e_0,11.39,13.45,9.1,9.65,9.62,7.47,4.13,2.95,2.72,2.6,2.83,1.78,2.4,2.52,1.91,1.58
