,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.12,2.37,4.71,6.12,4.92,4.79,1.28,1.66,0.99,0.9,1.17,0.91,0.64,1.87,0.84,1.02
f_1,4.47,1.12,3.9,4.66,4.52,4.41,1.0,1.84,1.04,0.92,1.95,0.96,0.5,0.97,0.72,0.79
d_1,5.63,4.94,1.11,5.28,4.31,4.5,1.25,0.83,2.56,0.79,0.88,0.95,0.7,0.98,0.46,0.87
c_1,3.89,5.83,6.44,1.12,4.74,4.8,1.35,1.18,0.49,1.47,0.83,0.95,0.67,0.83,0.69,0.84
b_1,4.93,5.52,5.85,3.12,1.13,5.26,1.74,1.68,1.14,1.51,1.11,2.19,0.95,1.26,0.95,1.57
a_1,9.09,10.98,8.35,7.16,4.23,1.14,2.32,2.82,1.78,1.97,1.66,1.71,1.34,1.42,1.07,2.58
h_1,15.8,15.25,14.11,15.39,17.43,13.44,1.78,4.6,3.56,3.06,3.2,3.36,3.77,2.6,2.18,2.76
g_1,18.75,20.45,17.25,18.67,17.74,16.13,4.14,1.76,3.52,3.27,4.07,3.7,1.88,3.72,3.35,3.01
d_0,11.28,23.88,32.33,18.36,18.75,18.84,6.57,6.4,2.26,4.08,4.84,4.38,2.82,4.78,3.58,4.25
c_0,19.93,21.75,11.64,49.61,22.58,17.68,5.39,6.12,5.87,2.26,4.51,4.38,3.28,4.35,2.9,4.01
f_0,19.48,42.16,19.36,20.52,28.94,18.0,6.17,3.67,4.26,3.82,2.17,3.99,3.13,4.3,1.83,4.4
b_0,21.13,22.77,16.99,32.27,51.4,22.15,6.17,5.63,6.34,2.27,4.73,2.25,3.55,5.03,3.23,3.88
h_0,28.06,27.76,31.71,29.16,25.92,29.22,12.62,7.33,5.61,5.61,6.81,5.47,5.92,5.45,4.53,4.95
e_0,47.39,51.74,30.0,30.5,29.81,32.0,10.36,7.26,7.83,5.94,3.1,6.01,4.9,2.22,4.26,4.4
g_0,36.15,42.69,28.22,38.65,36.35,28.0,7.28,13.28,7.83,6.65,6.44,6.08,3.87,7.3,6.46,6.81
a_0,33.72,34.85,28.96,36.13,51.4,46.88,10.1,10.06,6.97,5.88,6.66,3.46,5.01,7.44,5.66,2.62
