,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.4,0.45,0.62,0.89,0.73,0.63,0.38,0.41,0.38,0.3,0.39,0.31,0.26,0.39,0.29,0.33
f_1,0.77,0.4,0.61,0.65,0.66,0.57,0.29,0.42,0.32,0.29,0.36,0.3,0.2,0.28,0.27,0.27
d_1,0.79,0.73,0.39,0.64,0.61,0.64,0.34,0.27,0.45,0.31,0.27,0.31,0.25,0.3,0.19,0.28
c_1,0.52,0.75,0.84,0.39,0.74,0.7,0.35,0.33,0.19,0.29,0.28,0.28,0.26,0.29,0.26,0.28
b_1,0.64,0.67,0.74,0.47,0.37,0.77,0.38,0.39,0.31,0.4,0.3,0.37,0.3,0.34,0.29,0.33
a_1,0.74,0.83,0.72,0.62,0.42,0.31,0.4,0.4,0.32,0.36,0.32,0.34,0.28,0.29,0.27,0.38
h_1,0.61,0.69,0.57,0.67,0.63,0.53,0.24,0.36,0.29,0.28,0.27,0.29,0.27,0.24,0.24,0.25
g_1,0.58,0.65,0.7,0.67,0.61,0.58,0.27,0.22,0.26,0.26,0.36,0.29,0.2,0.27,0.27,0.25
d_0,0.42,0.67,0.75,0.74,0.65,0.6,0.37,0.37,0.23,0.25,0.3,0.29,0.23,0.32,0.28,0.28
c_0,0.65,0.64,0.45,0.92,0.66,0.55,0.34,0.34,0.39,0.23,0.32,0.34,0.28,0.3,0.23,0.3
f_0,0.56,0.74,0.64,0.66,0.74,0.59,0.34,0.23,0.27,0.25,0.22,0.28,0.23,0.34,0.17,0.28
b_0,0.59,0.62,0.52,0.81,0.89,0.56,0.32,0.32,0.32,0.18,0.32,0.22,0.26,0.28,0.24,0.3
h_0,0.61,0.68,0.66,0.66,0.56,0.56,0.37,0.35,0.28,0.26,0.31,0.25,0.27,0.29,0.27,0.24
e_0,0.66,0.9,0.57,0.62,0.61,0.58,0.39,0.29,0.31,0.27,0.16,0.26,0.26,0.18,0.21,0.22
g_0,0.6,0.71,0.59,0.69,0.65,0.53,0.27,0.32,0.28,0.27,0.3,0.28,0.2,0.3,0.25,0.27
a_0,0.58,0.66,0.59,0.66,0.77,0.76,0.34,0.35,0.29,0.26,0.27,0.18,0.25,0.31,0.25,0.19
