,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.33,0.86,0.74,0.98,0.76,0.56,1.65,1.32,1.7,2.88,1.82,1.8,2.12,1.37,0.99,1.92
f_1,1.49,2.35,0.8,0.8,0.56,0.53,1.45,1.29,1.67,1.67,1.69,1.05,1.91,1.4,0.89,1.74
d_1,0.82,0.98,2.38,0.62,0.62,0.56,1.74,1.58,3.12,1.17,2.1,1.77,2.19,1.62,1.64,2.1
c_1,0.81,0.87,0.69,2.49,1.48,0.52,1.28,1.2,0.96,1.77,1.23,1.47,1.98,1.46,1.24,1.63
b_1,0.79,0.84,0.84,0.78,2.68,1.36,1.57,1.32,1.65,1.4,0.97,1.33,2.05,1.11,1.32,1.89
a_1,0.8,0.91,1.01,0.93,0.64,3.29,1.54,1.22,1.6,1.9,1.71,1.51,2.58,0.9,1.49,2.04
h_1,0.88,1.23,1.01,0.88,0.88,0.56,3.29,1.99,1.78,1.6,1.75,1.57,1.59,1.81,1.6,2.91
g_1,0.74,0.79,1.54,0.71,0.76,0.63,1.79,3.64,2.01,1.36,1.59,2.87,2.51,1.63,1.71,1.66
c_0,0.97,1.06,1.06,0.7,0.61,0.62,1.76,1.66,2.98,1.77,3.23,1.83,2.55,1.99,1.77,2.47
d_0,0.83,0.87,0.59,1.67,0.92,0.56,1.57,1.53,1.47,3.02,1.63,1.93,2.13,1.76,1.63,2.07
b_0,1.03,1.05,0.93,0.93,0.57,0.5,1.9,1.48,1.83,2.07,3.17,2.08,2.65,3.22,1.88,2.39
f_0,0.68,0.81,1.03,1.05,0.85,0.63,1.82,1.7,2.02,2.07,2.08,3.32,2.77,1.86,3.75,2.11
h_0,0.96,1.38,1.02,0.75,0.75,0.58,1.2,1.75,2.0,1.77,1.62,1.89,1.78,1.79,1.79,2.96
a_0,0.97,0.98,1.17,0.86,0.84,0.49,1.73,1.53,2.03,1.68,1.79,1.68,2.57,3.13,1.49,2.36
e_0,0.58,1.01,0.99,1.21,0.89,0.6,1.78,1.4,1.75,1.98,2.13,2.01,2.42,1.94,3.61,2.34
g_0,0.83,0.94,1.4,0.81,0.76,0.58,1.81,1.3,2.07,1.55,1.88,2.64,2.1,1.73,1.8,1.91
