,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,100.19,63.16,84.07,127.03,148.77,458.37,10667.24,16789.74,33531.6,24571.45,30345.97,63700.67,91929.86,116559.59,114607.52,264078.08
f_1,82.94,109.83,83.14,96.53,126.71,408.5,9208.51,14467.91,21246.41,24261.3,29155.86,44168.52,72189.27,86608.24,113283.84,236823.3
d_1,50.72,62.98,135.92,76.6,123.7,416.5,9761.9,14219.02,16459.59,35953.99,32006.55,57319.63,72524.49,92778.85,137763.31,243775.41
c_1,47.0,58.33,77.6,150.48,197.94,385.67,9139.38,13278.21,15066.94,13898.22,18364.19,50490.94,66488.05,83782.32,118888.72,211742.64
b_1,44.15,53.71,67.67,63.03,204.3,583.87,8121.55,12476.77,15828.07,17163.58,17561.4,51031.4,44227.25,87646.22,103280.85,232205.98
a_1,32.85,37.17,43.75,51.94,61.43,537.18,6261.64,9479.81,10618.77,13712.53,16444.8,29921.39,40012.71,58892.53,89038.91,165261.75
h_1,13.92,20.04,22.08,23.81,31.03,83.22,3498.99,4951.94,4907.5,5851.78,6501.3,14719.21,18317.85,19382.88,34591.48,82019.05
g_1,11.09,11.85,24.17,21.64,27.2,80.35,1963.74,5074.07,4553.07,5067.45,5843.81,16514.5,15642.66,22997.72,31028.56,44507.01
d_0,10.11,12.53,14.61,30.13,29.56,89.75,2071.67,3244.98,5274.77,3934.18,5127.98,11361.85,14619.33,20872.37,30070.41,51559.78
c_0,12.06,12.65,14.54,18.39,26.17,78.41,1940.78,3089.94,4568.52,6154.76,9139.95,12929.26,19025.5,22487.97,27833.24,51989.3
b_0,10.7,12.04,13.94,21.0,22.65,66.1,1909.86,2927.84,4280.98,3741.77,7059.99,11380.6,23681.69,19910.41,27244.12,48863.66
f_0,6.96,8.75,12.54,14.41,18.37,75.8,1409.81,2202.36,3725.61,3936.39,4024.68,12294.06,13066.87,17141.32,36571.91,39336.66
a_0,7.65,10.02,11.62,12.33,20.24,49.74,1402.45,2036.08,2785.33,3097.27,3420.3,8015.82,13843.83,14689.75,21459.42,36337.14
h_0,6.97,10.93,11.53,12.95,15.94,52.71,1105.59,2053.92,2505.04,2906.8,3670.71,6380.68,8562.62,11123.4,19644.35,40098.4
e_0,5.82,8.43,9.08,10.75,14.97,47.54,1230.57,1774.63,2112.28,2521.03,2997.7,5375.13,7843.18,11037.17,22547.18,31579.06
g_0,4.66,6.34,11.08,8.98,11.71,35.21,833.93,1436.61,1702.77,2552.87,2642.67,7380.7,6483.31,8535.54,13992.69,23017.23
