,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.9,0.24,0.17,0.27,0.17,0.12,0.19,0.39,0.15,0.15,0.17,0.15,0.19,0.08,0.11,0.14
f_1,0.41,0.89,0.19,0.19,0.18,0.1,0.16,0.18,0.12,0.17,0.18,0.07,0.18,0.08,0.12,0.11
d_1,0.23,0.24,0.9,0.17,0.16,0.1,0.19,0.11,0.16,0.37,0.21,0.19,0.2,0.13,0.11,0.14
c_1,0.2,0.24,0.2,0.89,0.34,0.12,0.19,0.16,0.15,0.06,0.14,0.15,0.18,0.09,0.09,0.14
b_1,0.25,0.21,0.2,0.18,0.89,0.24,0.19,0.19,0.14,0.15,0.07,0.17,0.21,0.1,0.07,0.14
a_1,0.21,0.29,0.23,0.2,0.16,0.88,0.21,0.21,0.15,0.23,0.17,0.17,0.18,0.12,0.04,0.15
h_1,0.29,0.39,0.25,0.24,0.23,0.13,0.56,0.22,0.24,0.21,0.19,0.16,0.14,0.14,0.12,0.21
d_0,0.3,0.27,0.15,0.49,0.22,0.14,0.21,0.46,0.16,0.17,0.18,0.23,0.21,0.13,0.13,0.18
g_1,0.29,0.22,0.46,0.18,0.2,0.15,0.2,0.2,0.56,0.24,0.19,0.34,0.22,0.15,0.16,0.11
c_0,0.34,0.31,0.33,0.14,0.19,0.11,0.24,0.19,0.2,0.46,0.41,0.2,0.24,0.17,0.16,0.16
b_0,0.39,0.29,0.3,0.22,0.09,0.12,0.23,0.26,0.19,0.25,0.45,0.21,0.27,0.16,0.35,0.15
f_0,0.28,0.23,0.3,0.23,0.21,0.15,0.3,0.27,0.22,0.27,0.22,0.44,0.25,0.31,0.1,0.2
h_0,0.31,0.38,0.31,0.25,0.16,0.13,0.14,0.25,0.25,0.23,0.22,0.21,0.12,0.15,0.13,0.24
e_0,0.18,0.37,0.25,0.26,0.18,0.14,0.28,0.26,0.19,0.28,0.23,0.26,0.25,0.41,0.12,0.2
a_0,0.31,0.33,0.32,0.25,0.18,0.07,0.23,0.23,0.23,0.23,0.23,0.21,0.26,0.19,0.39,0.17
g_0,0.25,0.25,0.39,0.28,0.23,0.13,0.23,0.19,0.14,0.23,0.19,0.33,0.2,0.15,0.12,0.12
