,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.2,0.24,0.22,0.22,0.21,0.14,0.38,0.35,0.93,0.5,0.45,0.47,0.5,0.36,0.61,0.1
f_1,0.45,2.23,0.21,0.18,0.17,0.18,0.36,0.3,0.44,0.45,0.51,0.07,0.54,0.34,0.47,0.33
d_1,0.24,0.25,2.38,0.2,0.16,0.2,0.47,0.38,0.1,0.92,0.41,0.45,0.68,0.36,0.51,0.31
c_1,0.22,0.19,0.2,2.4,0.41,0.13,0.45,0.37,0.57,0.11,0.31,0.53,0.63,0.35,0.41,0.37
b_1,0.22,0.28,0.24,0.19,2.6,0.29,0.37,0.45,0.35,0.46,0.09,0.48,0.5,0.29,0.32,0.37
a_1,0.21,0.22,0.24,0.23,0.2,3.14,0.44,0.36,0.46,0.42,0.39,0.54,0.65,,0.43,0.32
h_1,0.34,0.68,0.38,0.36,0.29,0.2,2.83,0.86,0.88,0.75,0.91,0.72,0.43,0.63,0.88,0.65
g_1,0.37,0.38,0.6,0.4,0.27,0.28,0.71,3.05,0.61,0.5,0.81,1.11,1.01,0.66,0.49,0.55
d_0,0.32,0.41,0.14,0.82,0.39,0.27,0.64,0.59,2.18,0.75,0.84,0.66,1.0,0.78,0.86,0.64
c_0,0.46,0.51,0.42,0.17,0.28,0.26,0.72,0.65,0.96,2.33,1.71,0.62,1.2,0.73,0.99,0.78
b_0,0.41,0.48,0.48,0.5,0.06,0.16,0.86,0.75,0.77,0.74,2.43,0.76,1.04,1.47,1.03,0.69
f_0,0.37,0.13,0.48,0.52,0.37,0.28,0.74,0.82,0.99,0.94,0.94,2.56,1.13,0.71,1.07,1.58
h_0,0.39,0.6,0.43,0.4,0.35,0.24,0.2,0.81,0.57,0.62,0.82,0.77,0.29,0.6,1.53,0.58
a_0,0.42,0.42,0.36,0.55,0.31,,0.77,0.6,1.16,0.98,0.88,0.59,1.19,2.87,1.12,0.57
g_0,0.28,0.52,0.63,0.34,0.29,0.28,0.61,0.4,0.62,0.66,1.1,1.13,0.93,0.76,0.53,0.76
e_0,0.14,0.45,0.47,0.43,0.37,0.32,1.05,0.55,1.21,0.97,1.08,0.9,1.12,0.88,1.26,2.92
