,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.17,0.56,0.66,0.57,0.66,0.61,0.13,0.21,0.14,0.11,0.25,0.14,0.08,0.13,0.13,0.11
e_1,0.36,0.17,0.76,0.76,0.72,0.59,0.2,0.24,0.13,0.15,0.18,0.14,0.11,0.31,0.15,0.11
c_1,0.76,0.52,0.16,0.85,0.6,0.56,0.18,0.2,0.08,0.22,0.12,0.14,0.09,0.12,0.12,0.11
d_1,0.71,0.8,0.68,0.15,0.71,0.66,0.17,0.11,0.31,0.11,0.12,0.11,0.09,0.12,0.11,0.06
b_1,0.7,0.77,0.35,0.69,0.13,0.86,0.21,0.21,0.14,0.24,0.14,0.35,0.1,0.14,0.15,0.09
a_1,0.71,0.59,0.9,0.85,0.32,0.09,0.2,0.2,0.13,0.15,0.14,0.22,0.13,0.14,0.29,0.11
h_1,0.5,0.54,0.49,0.5,0.46,0.51,0.06,0.16,0.12,0.13,0.13,0.11,0.12,0.11,0.1,0.09
g_1,0.57,0.6,0.55,0.51,0.64,0.41,0.11,0.05,0.1,0.11,0.11,0.09,0.05,0.08,0.1,0.1
d_0,0.52,0.3,0.55,0.74,0.7,0.47,0.16,0.17,0.07,0.11,0.11,0.1,0.08,0.11,0.1,0.09
c_0,0.54,0.55,1.11,0.26,0.67,0.69,0.16,0.16,0.14,0.06,0.11,0.1,0.08,0.1,0.11,0.07
f_0,0.93,0.47,0.59,0.49,0.56,0.42,0.15,0.09,0.1,0.12,0.05,0.12,0.08,0.08,0.12,0.05
b_0,0.53,0.53,0.73,0.42,0.91,0.45,0.17,0.15,0.1,0.05,0.09,0.05,0.08,0.09,0.11,0.07
h_0,0.54,0.53,0.51,0.46,0.53,0.52,0.22,0.18,0.1,0.09,0.1,0.09,0.1,0.09,0.08,0.06
e_0,0.74,0.82,0.49,0.46,0.51,0.46,0.13,0.14,0.12,0.09,0.05,0.12,0.07,0.04,0.1,0.06
a_0,0.52,0.54,0.54,0.59,0.58,0.98,0.17,0.13,0.09,0.09,0.11,0.05,0.07,0.09,0.04,0.07
g_0,0.59,0.52,0.51,0.39,0.52,0.67,0.11,0.23,0.12,0.09,0.11,0.11,0.06,0.09,0.09,0.12
