,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,103.55,52.77,96.2,76.73,104.71,170.97,7660.92,15709.69,14091.52,17356.05,28631.92,20487.86,59621.52,83037.52,76528.13,155467.13
d_1,53.44,122.27,49.62,59.86,92.76,248.41,8020.82,9352.08,13772.39,31945.97,26348.74,38014.39,79985.45,109416.39,134757.76,138209.66
e_1,39.49,54.73,122.07,85.29,92.22,278.73,7183.33,25349.6,14206.74,16940.46,27549.62,42729.75,78514.4,85583.83,97086.82,150214.59
c_1,41.09,54.09,44.23,149.61,140.85,247.86,5421.3,12115.27,12851.86,9485.23,20006.92,32633.89,68087.37,83760.19,87403.37,140448.86
b_1,33.5,53.74,45.19,46.1,195.55,344.36,6595.66,11821.95,10457.04,14835.88,11547.81,27717.21,67760.41,57037.81,101301.96,138927.91
a_1,35.23,35.4,32.05,40.43,53.62,433.32,4408.47,9141.05,9291.52,11295.04,13958.51,22922.27,47852.83,37152.68,89099.01,85736.55
h_1,14.76,13.55,14.85,23.09,21.5,64.62,3350.8,3575.49,4721.74,4779.82,7042.6,9661.02,15447.22,21457.1,31500.34,52914.59
d_0,9.78,9.71,9.36,26.67,21.73,55.74,1786.74,4757.27,2742.2,3170.89,6821.83,8870.67,14554.88,20080.72,27897.5,31917.93
g_1,9.5,15.66,9.99,15.58,20.21,44.8,1567.78,3325.73,5643.7,3765.27,5851.97,11724.94,15888.53,22672.05,26513.84,29065.25
c_0,10.79,9.17,12.81,12.57,16.47,53.41,1631.38,3713.03,2998.03,5714.59,9932.73,8703.35,16658.01,19480.34,27767.48,34058.89
b_0,8.87,10.43,9.97,15.72,12.98,43.62,1491.47,2805.42,2758.98,2751.62,7188.73,6731.03,15956.42,31014.02,28154.07,29601.64
f_0,7.03,9.4,7.61,13.65,17.65,46.46,1176.15,2654.85,2142.93,3383.49,4338.46,9657.38,12062.21,15165.83,38173.53,23571.43
h_0,9.13,7.88,6.83,10.22,12.42,30.11,912.72,2210.73,2615.46,2337.23,3308.16,5336.95,7641.12,11179.62,15785.53,27493.16
a_0,5.53,6.73,6.3,9.27,12.89,21.94,1147.68,2071.01,1613.6,2731.89,2702.01,5294.41,11870.28,19850.45,13956.26,22224.85
e_0,7.24,6.11,4.26,9.27,9.24,27.41,936.13,1608.62,1805.11,2139.19,3047.48,3534.68,9525.45,14175.68,24570.39,16556.12
g_0,4.87,8.37,5.11,8.23,10.35,31.45,704.56,1577.59,938.34,2081.11,2934.36,5692.45,6403.12,10747.67,15213.84,13042.12
