,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,15.29,1.15,0.56,0.61,0.55,0.43,0.72,0.74,0.8,0.66,0.91,0.41,0.84,0.83,0.89,0.57
e_1,0.66,15.33,0.47,0.66,0.48,0.53,1.16,0.87,2.03,1.02,1.19,1.16,1.12,0.93,1.06,0.6
d_1,0.57,0.47,17.55,0.45,0.5,0.71,0.83,0.94,0.36,2.39,1.26,1.04,0.92,1.14,0.96,1.21
c_1,0.56,0.56,0.51,17.92,1.28,0.48,0.74,0.71,0.82,0.31,0.61,0.86,0.93,0.89,0.81,0.81
b_1,0.48,0.45,0.61,0.57,20.34,1.4,0.81,0.82,0.9,0.68,0.31,1.04,0.64,0.89,0.83,1.01
a_1,0.55,0.52,0.67,0.53,0.63,27.22,1.14,0.96,0.81,0.93,0.75,0.96,0.47,1.17,0.97,0.93
h_1,1.17,0.63,0.78,0.77,0.61,0.61,5.05,1.57,1.2,1.25,1.05,1.07,0.97,0.69,1.82,1.32
g_1,0.58,0.68,1.8,0.74,0.52,0.6,0.9,6.11,0.61,1.03,1.06,1.61,0.89,1.12,0.88,1.07
d_0,0.7,0.66,0.36,2.17,0.78,0.67,1.16,1.13,2.94,0.8,1.11,1.13,1.21,1.22,1.09,1.16
c_0,0.87,0.78,0.79,0.37,0.53,0.7,1.17,1.33,1.3,3.26,4.39,1.56,1.61,1.33,1.19,1.57
b_0,0.91,0.68,0.8,0.82,0.41,0.55,1.27,1.16,1.27,1.1,3.29,0.95,3.6,1.74,1.3,1.38
f_0,0.46,0.53,0.93,0.89,0.67,0.85,1.36,1.1,1.42,1.14,1.34,3.66,1.18,1.23,1.35,3.57
a_0,1.06,0.73,0.77,0.83,0.63,0.32,1.35,1.49,1.29,1.0,1.56,1.19,4.47,1.23,1.27,0.91
h_0,1.49,0.72,0.85,0.79,0.63,0.49,0.58,1.91,0.94,0.97,1.05,1.15,1.16,0.69,1.75,1.23
g_0,0.63,0.68,1.34,0.68,0.61,0.76,1.24,0.73,1.21,1.01,0.99,2.08,1.38,1.32,0.8,1.6
e_0,0.77,0.48,0.82,1.04,0.65,0.6,1.14,1.42,1.27,1.25,1.36,0.83,1.56,1.32,1.51,5.55
