,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.07,1.17,0.89,0.99,0.92,0.88,0.92,0.94,1.1,1.08,0.9,0.9,0.87,0.85,1.06
c_1,0.94,1.0,0.84,1.39,1.25,0.93,0.87,0.75,0.75,1.0,0.7,0.82,0.91,0.97,0.93,1.06
e_1,0.85,1.21,1.0,1.02,0.83,0.95,1.16,1.41,0.99,1.02,1.06,1.1,0.92,1.15,0.89,1.13
b_1,1.14,0.72,0.98,1.0,1.02,1.38,1.13,0.93,1.1,1.16,0.98,1.01,0.94,0.96,1.1,0.99
d_1,1.02,0.8,1.2,0.97,1.0,0.93,0.95,1.12,1.34,0.78,1.09,1.19,1.2,1.14,1.01,0.8
a_1,1.09,1.07,1.06,0.73,1.07,1.0,1.16,0.98,0.92,1.07,1.18,1.03,1.21,0.97,1.12,1.1
h_1,1.16,1.14,0.85,0.89,1.04,0.86,1.0,0.98,0.96,1.33,1.02,0.93,0.98,1.17,0.88,1.06
d_0,1.06,1.35,0.72,1.09,0.96,1.01,1.01,1.0,0.82,0.99,0.77,0.9,0.93,0.95,1.12,0.95
c_0,1.05,1.25,0.99,0.89,0.77,1.02,1.09,1.24,1.0,1.0,1.38,1.01,1.22,1.08,1.08,1.05
g_1,0.88,1.01,0.99,0.84,1.3,0.9,0.76,0.96,1.02,1.0,1.0,1.21,1.06,0.9,0.97,1.11
b_0,0.91,1.39,0.95,0.95,0.92,0.88,0.94,1.27,0.73,1.0,1.0,0.9,1.44,1.01,0.99,1.17
f_0,1.19,1.23,0.96,0.92,0.85,1.01,1.1,1.08,0.94,0.77,1.08,1.0,0.95,1.12,1.34,0.79
a_0,1.13,1.15,1.01,1.1,0.87,0.89,1.05,1.06,0.82,1.02,0.67,1.04,1.0,1.19,0.99,0.93
h_0,1.14,1.04,0.9,1.03,0.91,1.02,0.88,1.03,0.92,1.11,1.0,0.89,0.89,1.0,1.07,1.0
e_0,1.18,0.93,1.2,0.91,0.99,0.9,1.22,0.9,0.92,0.98,0.91,0.75,0.96,0.95,1.0,0.97
g_0,0.88,0.97,0.88,0.97,1.23,0.98,0.97,1.02,0.93,0.89,0.81,1.28,1.02,1.01,1.06,1.0
