,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,98.68,81.25,114.56,94.2,111.23,334.81,12413.94,20010.18,24066.93,23984.43,51584.37,39619.09,112139.09,136495.41,155176.43,233754.48
c_1,54.86,123.52,67.71,150.57,111.38,309.85,10736.37,16534.98,13716.33,21803.46,30335.43,52185.95,92908.5,129613.74,163697.06,208657.83
e_1,53.4,87.87,130.49,95.52,82.23,282.43,13626.04,29796.62,21698.29,20409.49,46671.47,60106.8,103705.36,141785.14,120552.78,221722.59
b_1,52.64,56.91,66.66,153.87,96.48,498.53,12482.29,15138.87,20799.77,20724.53,32976.95,51721.73,82609.63,115901.54,174296.09,181301.29
d_1,47.92,49.95,75.99,80.45,165.12,308.63,10988.7,14312.52,31883.66,16843.41,51028.56,62677.7,112183.23,127847.12,168466.03,186438.99
a_1,36.07,45.36,52.14,45.77,68.17,432.78,8133.21,11250.47,13250.33,13188.39,30792.89,37118.09,49551.66,80044.08,112935.69,135787.24
h_1,15.54,19.94,16.84,20.87,24.71,67.8,4284.25,4196.51,4962.17,6274.05,10298.34,12300.46,24368.01,28532.37,35922.28,58491.54
d_0,12.58,23.69,13.41,22.63,16.93,55.51,2686.35,4922.02,3512.28,4284.27,7668.57,11665.78,21033.56,31076.16,43032.25,42959.97
c_0,11.5,14.59,15.92,15.95,19.04,66.4,2727.33,4363.47,6150.47,4201.09,14990.98,12694.81,30120.23,30553.08,40673.36,42518.88
g_1,10.34,14.16,14.18,17.2,29.66,54.46,1943.45,3208.53,4758.59,6616.88,8747.6,14644.79,21151.6,25312.5,33483.14,36790.68
b_0,9.8,14.07,11.91,12.13,16.24,44.17,2131.33,3492.85,3431.4,3453.86,9968.93,9025.98,32333.58,22771.49,28933.16,35990.56
f_0,9.06,12.22,10.4,14.51,14.17,50.4,2022.82,3105.81,3625.67,2699.82,7002.9,11849.38,18130.22,21323.95,42013.49,28908.02
a_0,7.94,9.78,9.95,11.55,11.45,35.43,1608.36,2554.41,2320.59,2867.31,4951.51,6689.64,19668.76,19283.09,22083.3,24303.94
h_0,8.49,8.89,8.33,11.47,12.66,37.61,1154.89,2244.34,2366.53,3035.99,5419.1,6228.91,13230.37,13893.73,22105.01,28886.48
e_0,7.11,7.44,6.3,9.62,11.48,34.05,1502.68,1628.9,2346.46,2209.05,4789.18,5092.46,12200.44,14923.18,27586.04,23485.8
g_0,5.21,7.16,6.67,9.45,14.2,36.22,1323.3,1958.27,2494.88,1804.32,4879.21,8253.42,11516.73,14200.13,22543.31,20462.1
