,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.36,0.92,1.05,0.86,0.97,0.82,1.12,1.02,1.0,0.94,0.89,0.92,0.84,0.77,1.1
e_1,0.73,1.0,0.82,1.04,1.18,1.05,1.1,1.01,1.01,1.42,0.97,1.03,1.23,1.06,1.29,1.01
d_1,1.09,1.22,1.0,0.93,0.88,0.95,0.99,0.78,1.27,0.81,1.09,1.08,0.89,1.0,0.98,0.76
c_1,0.95,0.96,1.08,1.0,1.36,0.96,0.96,0.78,0.79,0.76,0.86,0.93,0.94,1.1,0.91,1.1
b_1,1.16,0.85,1.13,0.74,1.0,1.34,1.0,1.07,1.0,0.95,0.92,1.05,1.03,1.19,1.28,1.11
a_1,1.03,0.95,1.06,1.04,0.75,1.0,1.27,1.22,0.92,1.08,1.06,0.98,0.93,1.07,1.14,1.12
h_1,1.21,0.89,1.02,1.09,0.98,0.8,1.0,1.33,1.02,0.79,1.08,0.86,0.95,0.94,0.78,1.08
g_1,0.97,0.94,1.23,1.27,0.89,0.85,0.75,1.0,0.76,0.95,0.99,1.16,0.93,0.81,1.05,0.83
c_0,1.07,0.99,0.76,1.22,0.95,1.04,0.95,1.36,1.0,1.03,1.43,0.98,1.08,0.99,1.05,0.99
d_0,1.04,0.68,1.21,1.32,1.05,0.95,1.31,1.04,0.89,1.0,1.05,0.97,1.08,0.96,0.78,1.19
b_0,1.02,0.91,0.92,1.24,1.08,0.85,1.0,0.98,0.75,1.02,1.0,1.15,1.36,1.04,0.82,0.94
f_0,1.02,0.98,0.93,1.12,0.92,1.0,1.16,0.93,1.01,1.09,0.86,1.0,0.95,1.12,1.44,0.82
a_0,1.05,0.78,1.2,1.08,1.02,1.0,1.06,1.02,0.91,0.86,0.72,1.05,1.0,1.17,1.12,0.97
h_0,1.25,0.9,1.03,0.98,0.87,0.93,1.07,1.25,1.0,1.05,0.99,0.91,0.83,1.0,1.12,1.14
e_0,1.35,,1.03,1.14,0.8,0.91,1.28,0.99,0.97,1.29,1.24,0.64,0.83,0.82,1.0,0.96
g_0,0.97,0.93,1.32,0.94,0.87,0.89,0.91,1.28,1.04,0.86,0.97,1.3,1.04,0.86,0.94,1.0
