,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,0.94,0.32,0.27,0.24,0.21,0.17,0.21,0.14,0.31,0.1,0.19,0.15,0.14,0.16,0.15,0.15
f_1,0.28,0.94,0.45,0.29,0.24,0.2,0.17,0.17,0.15,0.15,0.15,0.07,0.11,0.17,0.08,0.12
e_1,0.28,0.28,0.94,0.33,0.25,0.15,0.23,0.16,0.2,0.32,0.2,0.17,0.13,0.12,0.07,0.13
c_1,0.3,0.25,0.26,0.94,0.43,0.16,0.24,0.16,0.07,0.14,0.17,0.18,0.14,0.19,0.14,0.15
b_1,0.32,0.32,0.3,0.26,0.93,0.31,0.18,0.2,0.17,0.2,0.07,0.17,0.11,0.18,0.14,0.17
a_1,0.4,0.38,0.31,0.35,0.25,0.93,0.23,0.23,0.27,0.18,0.15,0.18,0.08,0.21,0.13,0.15
h_1,0.65,0.71,0.44,0.42,0.46,0.3,0.73,0.43,0.32,0.31,0.32,0.33,0.28,0.2,0.25,0.32
g_1,0.86,0.5,0.59,0.5,0.48,0.3,0.27,0.73,0.3,0.27,0.32,0.41,0.23,0.23,0.29,0.15
c_0,0.51,0.78,0.54,0.4,0.52,0.34,0.45,0.4,0.62,0.39,0.54,0.36,0.31,0.31,0.27,0.33
d_0,0.31,0.66,0.46,1.05,0.38,0.45,0.36,0.33,0.31,0.61,0.31,0.36,0.22,0.31,0.29,0.32
b_0,0.59,0.71,0.46,0.6,0.34,0.4,0.47,0.36,0.34,0.47,0.63,0.46,0.48,0.41,0.33,0.36
f_0,0.77,0.42,0.57,0.58,0.6,0.37,0.39,0.34,0.42,0.37,0.34,0.61,0.29,0.37,0.4,0.31
a_0,0.59,0.85,0.63,0.67,0.69,,0.43,0.4,0.36,0.46,0.29,0.43,0.6,0.44,0.26,0.34
h_0,0.74,0.81,0.7,0.52,0.56,0.35,0.27,0.52,0.44,0.43,0.34,0.34,0.28,0.23,0.25,0.38
e_0,0.67,1.01,0.41,0.61,0.5,0.43,0.56,0.37,0.43,0.41,0.36,0.35,0.44,0.38,0.59,0.4
g_0,0.86,0.68,0.65,0.75,0.5,0.42,0.43,0.21,0.45,0.39,0.34,0.46,0.3,0.36,0.27,0.26
