,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,2.78,0.74,0.4,0.78,0.63,0.52,1.08,0.9,1.81,0.91,0.92,1.02,1.02,0.96,0.41,0.89
f_1,1.15,2.87,0.6,0.6,0.41,0.53,0.75,0.7,0.73,0.95,0.29,0.94,0.92,0.88,0.76,0.74
d_1,0.59,0.67,3.1,0.55,0.61,0.61,0.89,0.96,0.32,1.76,0.93,1.14,1.07,1.03,0.96,0.94
c_1,0.51,0.57,0.66,3.2,1.08,0.48,0.91,0.7,0.95,0.25,0.98,0.79,0.94,0.96,0.94,1.09
b_1,0.56,0.53,0.7,0.49,3.22,1.15,0.72,0.94,0.87,0.86,1.27,0.37,0.97,0.76,0.99,1.02
a_1,0.57,0.63,0.74,0.56,0.55,4.67,0.98,0.97,0.83,0.95,0.97,0.97,1.02,0.29,1.31,0.96
h_1,0.64,1.06,0.81,0.76,0.72,0.7,2.99,1.37,1.13,0.88,0.91,1.13,0.54,0.99,1.34,1.6
g_1,0.62,0.61,1.11,0.86,0.82,0.57,1.18,3.45,0.8,1.04,1.77,1.03,0.92,1.16,1.06,0.55
d_0,0.72,0.83,0.4,1.52,0.64,0.72,1.09,1.14,2.38,0.91,1.07,1.2,1.17,1.08,1.08,1.16
c_0,0.89,0.85,0.83,0.45,0.53,0.8,1.23,1.01,1.04,2.25,1.12,2.44,1.11,1.5,0.98,1.14
f_0,0.51,0.46,0.85,0.88,1.0,0.78,1.28,1.21,1.15,0.82,2.85,0.95,1.33,1.23,2.6,1.61
b_0,0.7,0.84,0.84,0.94,0.5,0.48,0.99,1.15,1.26,1.3,1.31,3.0,1.3,2.72,1.24,1.24
h_0,0.7,1.0,0.86,0.7,0.69,0.71,0.53,1.7,1.27,1.03,1.21,1.27,0.58,1.44,1.18,1.5
a_0,0.79,0.74,0.77,0.82,0.88,0.2,1.14,1.36,0.99,1.19,1.4,1.01,1.21,3.97,1.23,1.67
e_0,0.35,0.91,1.06,0.74,0.72,0.75,1.41,1.16,1.03,1.35,1.05,1.19,1.53,1.25,3.63,1.15
g_0,0.57,0.69,1.43,0.73,0.73,0.82,1.0,0.74,0.83,1.03,2.03,1.09,1.2,0.89,1.81,0.78
