,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.66,0.83,1.56,1.3,1.47,1.23,0.6,0.58,0.47,0.64,0.46,0.53,0.45,0.4,0.61,0.42
f_1,1.47,0.66,1.28,1.18,1.12,1.03,0.47,0.51,0.46,0.65,0.48,0.67,0.3,0.47,0.42,0.4
c_1,1.04,1.41,0.65,1.68,1.51,1.07,0.63,0.29,0.55,0.59,0.42,0.42,0.39,0.46,0.47,0.39
d_1,1.67,1.42,1.23,0.64,1.37,1.12,0.58,0.75,0.47,0.43,0.51,0.53,0.37,0.48,0.42,0.26
b_1,1.43,1.75,0.9,1.5,0.61,1.79,0.69,0.57,0.72,0.65,0.71,0.45,0.4,0.54,0.48,0.44
a_1,1.68,1.84,1.84,1.77,0.84,0.58,0.74,0.67,0.6,0.77,0.76,0.54,0.59,0.7,0.49,0.56
h_1,1.93,2.27,2.01,2.01,1.98,1.74,0.56,0.75,0.78,0.88,0.67,0.65,0.66,0.63,0.63,0.59
d_0,1.39,2.21,2.63,2.68,2.25,2.03,1.06,0.63,0.67,0.96,0.79,0.79,0.61,0.68,0.71,0.73
c_0,2.32,2.59,2.96,1.55,2.1,1.84,0.96,1.02,0.61,1.03,1.0,0.75,0.64,0.72,0.71,0.61
g_1,2.15,2.43,2.33,2.24,2.19,2.11,0.73,0.85,0.8,0.53,0.86,0.89,0.53,0.68,0.74,0.8
b_0,2.15,2.24,3.02,1.82,3.8,1.9,1.07,0.82,0.5,1.03,0.59,0.78,0.64,0.84,0.7,0.72
f_0,2.07,3.9,2.69,2.15,2.4,2.38,1.09,0.83,0.85,0.67,0.83,0.57,0.78,0.66,0.81,0.5
h_0,2.37,3.05,2.37,2.43,2.51,2.21,1.57,0.95,0.98,1.23,0.88,0.95,0.92,0.83,0.87,0.72
a_0,2.92,2.8,2.51,2.32,3.26,3.6,1.24,0.97,0.97,1.03,0.62,0.95,0.77,0.56,0.71,0.8
e_0,3.11,3.31,2.65,2.62,2.49,2.48,1.11,1.02,1.0,1.1,1.07,0.63,0.8,1.12,0.57,0.66
g_0,2.74,3.05,2.91,2.86,2.73,2.4,1.04,1.03,0.98,1.38,0.89,1.04,0.68,0.89,1.02,0.9
