,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.95,0.53,0.44,0.62,0.51,0.34,0.39,0.31,0.54,0.32,0.31,0.3,0.33,0.24,0.19,0.26
f_1,0.84,0.95,0.46,0.54,0.5,0.27,0.32,0.28,0.36,0.31,0.31,0.23,0.29,0.21,0.14,0.28
d_1,0.65,0.68,0.96,0.43,0.41,0.34,0.4,0.31,0.28,0.56,0.37,0.32,0.34,0.3,0.26,0.24
c_1,0.53,0.56,0.58,0.95,0.78,0.34,0.4,0.3,0.3,0.21,0.26,0.33,0.3,0.24,0.28,0.25
b_1,0.57,0.6,0.65,0.54,0.94,0.62,0.39,0.39,0.34,0.34,0.27,0.34,0.31,0.22,0.24,0.28
a_1,0.71,0.78,0.67,0.64,0.5,0.94,0.49,0.35,0.44,0.45,0.4,0.4,0.44,0.22,0.28,0.37
h_1,0.81,1.11,0.82,0.75,0.66,0.51,0.79,0.61,0.42,0.46,0.47,0.46,0.39,0.37,0.35,0.47
g_1,0.77,0.97,1.22,0.84,0.61,0.53,0.52,0.78,0.46,0.54,0.52,0.66,0.44,0.37,0.44,0.36
d_0,0.81,0.94,0.68,1.28,0.9,0.5,0.7,0.54,0.7,0.39,0.52,0.47,0.47,0.42,0.37,0.43
c_0,0.98,1.15,0.78,0.85,0.67,0.51,0.69,0.54,0.58,0.7,0.81,0.49,0.54,0.48,0.43,0.44
b_0,1.05,1.09,0.86,0.89,0.62,0.54,0.65,0.56,0.59,0.47,0.69,0.41,0.52,0.73,0.35,0.47
f_0,0.84,0.93,1.08,0.8,0.82,0.58,0.67,0.49,0.57,0.64,0.64,0.7,0.58,0.46,0.7,0.47
h_0,1.05,1.29,0.98,0.93,0.89,0.49,0.57,0.67,0.65,0.58,0.52,0.51,0.47,0.34,0.38,0.59
a_0,1.15,1.27,1.02,0.88,0.8,0.54,0.64,0.61,0.55,0.64,0.48,0.49,0.68,0.69,0.45,0.5
e_0,0.92,1.48,0.98,0.86,1.0,0.68,0.76,0.59,0.61,0.62,0.69,0.47,0.7,0.45,0.65,0.48
g_0,1.09,1.04,1.38,1.0,0.83,0.6,0.69,0.56,0.61,0.61,0.6,0.73,0.53,0.49,0.5,0.46
