,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,1.0,1.24,0.93,1.01,0.9,0.84,0.87,1.03,1.05,0.91,0.94,0.97,0.89,0.97,0.81,1.05
e_1,0.82,1.0,0.93,1.21,1.05,0.97,1.02,1.05,1.35,0.96,1.19,1.08,1.03,1.12,1.11,1.1
d_1,1.06,1.08,1.0,0.92,0.97,0.87,0.99,0.87,1.1,1.26,0.97,1.05,1.01,1.0,1.05,0.89
c_1,0.97,0.85,1.09,1.0,1.39,1.05,0.99,0.96,0.72,0.85,1.01,0.78,0.97,0.95,1.0,0.94
b_1,1.1,0.93,1.03,0.74,1.0,1.48,1.07,1.06,0.91,1.05,0.92,1.02,1.12,0.85,1.04,0.96
a_1,1.17,1.05,1.14,0.97,0.68,1.0,1.06,1.16,0.88,1.11,1.05,1.28,1.15,0.95,0.97,1.05
h_1,1.16,0.98,1.03,1.0,0.93,0.92,1.0,1.12,0.99,0.84,0.86,0.89,0.95,0.83,0.88,1.19
g_1,0.99,0.97,1.14,1.06,0.91,0.87,0.93,1.0,0.92,1.01,1.13,0.95,0.83,1.04,0.97,1.01
d_0,0.92,0.76,0.94,1.4,1.12,1.18,1.05,1.07,1.0,0.8,1.03,0.91,0.97,1.0,0.93,1.12
c_0,1.1,1.02,0.84,1.19,0.93,0.92,1.14,1.01,1.23,1.0,0.93,1.37,1.08,1.13,1.07,1.01
f_0,1.02,0.84,1.02,0.96,1.07,0.97,1.17,0.88,0.98,1.03,1.0,0.94,1.01,1.0,1.38,0.92
b_0,1.08,0.9,0.92,1.25,1.03,0.81,1.11,0.99,1.03,0.72,1.03,1.0,1.07,1.5,1.04,1.08
h_0,1.09,0.97,1.0,1.03,0.91,0.84,1.04,1.2,0.99,0.91,0.97,0.98,1.0,1.07,0.88,1.1
a_0,1.0,0.91,1.01,1.11,1.16,1.02,1.17,0.91,0.96,0.91,1.03,0.73,0.94,1.0,1.02,1.03
e_0,1.2,0.93,1.0,1.01,0.94,1.03,1.17,0.96,1.05,0.91,0.73,0.99,1.16,1.0,1.0,0.87
g_0,0.96,0.9,1.1,0.99,1.03,0.92,0.87,0.98,0.89,0.98,1.12,0.95,0.91,0.95,1.1,1.0
