,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.0,0.86,0.87,1.06,0.81,0.69,0.49,0.57,0.45,0.36,0.39,0.4,0.37,0.34,0.34,0.33
f_1,1.18,1.0,0.87,0.93,0.78,0.67,0.42,0.44,0.46,0.39,0.36,0.33,0.32,0.3,0.31,0.24
d_1,1.15,1.16,1.0,0.85,0.78,0.7,0.51,0.45,0.34,0.55,0.44,0.39,0.36,0.37,0.29,0.32
c_1,0.94,1.06,1.17,1.0,1.2,0.78,0.57,0.34,0.45,0.37,0.35,0.39,0.32,0.34,0.31,0.35
b_1,1.19,1.3,1.24,0.86,1.0,1.3,0.65,0.47,0.56,0.56,0.48,0.52,0.38,0.48,0.42,0.39
a_1,1.47,1.47,1.38,1.3,0.79,1.0,0.81,0.61,0.65,0.61,0.72,0.6,0.52,0.45,0.51,0.43
h_1,2.01,2.32,1.94,1.73,1.56,1.25,1.0,0.82,0.9,0.78,0.71,0.78,0.65,0.64,0.72,0.67
d_0,1.79,2.28,2.23,2.92,2.09,1.62,1.24,1.0,1.01,0.74,0.87,0.86,0.79,0.72,0.75,0.78
g_1,2.28,2.19,2.8,2.22,1.8,1.45,1.13,0.96,1.0,1.01,0.96,1.2,0.82,0.66,0.81,0.81
c_0,2.79,2.63,1.88,2.64,1.85,1.51,1.28,1.33,1.01,1.0,1.3,1.04,0.98,0.91,0.92,0.76
b_0,2.55,2.85,2.3,2.78,2.17,1.37,1.32,1.22,1.04,0.74,1.0,1.03,1.24,0.88,0.79,0.83
f_0,2.43,2.95,2.52,2.5,2.06,1.64,1.23,1.14,0.85,0.96,0.96,1.0,0.88,0.92,0.74,1.18
a_0,2.77,3.05,2.81,3.32,2.69,1.89,1.55,1.31,1.19,1.01,0.83,1.11,1.0,0.95,0.89,1.04
h_0,2.97,3.39,2.74,2.91,2.19,2.13,1.57,1.37,1.55,1.09,1.12,1.09,1.04,1.0,1.09,0.9
g_0,2.9,3.17,3.43,3.1,2.46,1.81,1.46,1.28,1.23,1.11,1.2,1.34,1.19,0.89,1.0,1.02
e_0,3.14,4.03,3.16,2.84,2.64,2.27,1.5,1.35,1.21,1.25,1.14,0.88,1.02,1.08,0.92,1.0
