,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,0.93,0.17,0.12,0.09,0.07,0.07,0.06,0.07,0.07,0.07,,0.06,0.05,0.04,0.04,0.04
e_1,0.09,0.93,0.11,0.1,0.09,0.05,0.07,0.06,0.12,0.07,0.06,0.05,0.06,0.04,,0.04
d_1,0.1,0.1,0.93,0.11,0.08,0.06,0.08,0.07,,0.1,0.07,0.05,0.06,0.04,0.05,0.04
c_1,0.12,0.12,0.1,0.93,0.14,0.06,0.07,0.07,0.06,,0.08,0.05,0.06,0.05,0.04,0.04
b_1,0.14,0.13,0.12,0.08,0.93,0.11,0.08,0.06,0.1,0.06,0.05,,0.07,0.04,0.04,
a_1,0.14,0.12,0.11,0.11,0.09,0.93,0.11,0.07,0.05,0.07,0.07,0.07,0.09,,,0.06
h_1,0.43,0.28,0.27,0.28,0.23,0.16,0.71,0.23,0.19,0.17,0.18,0.14,,0.11,0.13,0.13
g_1,0.28,0.31,0.37,0.27,0.26,0.26,0.19,0.71,0.14,0.18,0.2,0.17,0.14,0.17,0.15,
d_0,0.32,0.3,,0.55,0.29,0.33,0.23,0.25,0.58,0.22,0.26,0.18,0.17,0.16,0.12,0.17
c_0,0.41,0.43,0.29,,0.29,0.21,0.25,0.16,0.21,0.58,0.19,0.39,0.16,0.22,0.18,0.14
f_0,,0.29,0.35,0.31,0.35,0.19,0.27,0.2,0.19,0.28,0.58,0.18,0.26,0.14,0.29,0.2
b_0,0.37,0.35,0.48,0.34,,0.19,0.25,0.24,0.28,0.16,0.19,0.59,0.23,,0.12,0.18
h_0,0.68,0.46,0.52,0.4,0.35,0.26,,0.4,0.39,0.32,0.25,0.25,,0.14,0.16,0.35
a_0,0.48,0.48,0.43,0.4,0.33,,0.23,0.2,0.28,0.2,0.21,,0.29,0.58,0.19,
e_0,0.53,,0.44,0.44,0.34,,0.35,0.2,0.31,0.23,0.19,0.23,0.3,0.16,0.58,
g_0,0.48,0.6,0.85,0.46,,0.33,0.39,,0.25,0.4,0.3,0.31,0.22,,,
