,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.55,0.88,0.97,1.28,1.0,0.83,1.22,1.02,1.08,1.83,1.21,1.12,1.27,1.04,0.89,1.15
d_1,1.09,1.56,1.06,0.9,0.94,0.82,1.27,1.03,1.76,0.89,1.18,1.22,1.26,1.15,1.11,1.15
f_1,1.46,0.98,1.56,0.94,0.87,0.78,1.09,1.13,1.11,1.19,0.96,1.11,1.06,1.09,0.7,1.19
c_1,0.84,1.05,1.08,1.59,1.49,0.95,1.16,1.04,0.96,0.95,1.08,0.82,1.34,0.83,1.02,1.22
b_1,1.02,1.04,1.08,0.89,1.6,1.42,1.24,1.14,1.04,1.15,1.05,0.9,1.35,0.84,1.11,1.22
a_1,1.18,1.19,1.18,1.07,0.9,1.74,1.33,1.29,1.22,1.3,1.21,1.38,1.29,1.07,1.24,1.19
h_1,1.19,1.32,1.53,1.27,1.11,0.92,1.86,1.52,1.37,1.33,1.4,1.49,1.38,1.16,1.18,1.78
g_1,1.23,1.65,1.26,1.14,1.15,1.08,1.47,1.95,1.61,1.3,1.8,1.51,1.38,1.23,1.38,1.51
c_0,1.36,1.33,1.4,1.21,1.21,0.98,1.67,1.45,1.87,1.68,1.59,2.31,1.73,1.75,1.35,1.6
d_0,1.07,1.17,1.31,2.04,1.38,0.96,1.54,1.3,1.05,1.84,1.36,1.38,1.64,1.2,1.24,1.64
f_0,1.14,1.36,1.42,1.33,1.42,1.07,1.67,1.51,1.56,1.51,1.91,1.6,1.8,1.24,2.2,1.6
b_0,1.25,1.5,1.47,1.55,1.11,0.83,1.56,1.41,1.37,1.47,1.55,1.91,1.82,2.25,1.42,1.62
h_0,1.31,1.49,1.67,1.39,1.25,1.19,1.4,1.81,1.43,1.55,1.49,1.5,1.47,1.42,1.34,2.06
a_0,1.34,1.44,1.51,1.51,1.33,0.97,1.78,1.54,1.55,1.58,1.59,1.42,1.94,1.95,1.61,1.93
e_0,1.23,1.54,1.62,1.37,1.22,1.12,1.84,1.58,1.66,1.47,1.43,1.68,2.0,1.39,2.02,1.79
g_0,1.2,1.81,1.27,1.48,1.26,1.2,1.41,1.36,1.64,1.38,2.0,1.56,1.58,1.25,1.58,1.53
