,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,14.76,0.59,0.67,0.48,0.62,0.54,0.92,0.86,2.24,0.76,1.06,0.82,0.85,1.06,0.55,1.01
f_1,1.09,15.89,0.57,0.56,0.49,0.46,0.79,0.78,0.78,0.71,0.43,0.9,0.92,0.93,0.58,0.86
c_1,0.59,0.5,16.48,0.47,1.17,0.52,0.89,0.81,0.75,0.44,0.94,0.74,0.89,1.01,0.98,0.86
d_1,0.53,0.59,0.39,20.37,0.47,0.6,0.82,1.04,0.35,2.09,1.03,1.29,1.29,1.03,1.08,1.01
b_1,0.43,0.51,0.62,0.64,18.43,1.3,0.83,0.71,0.96,0.89,0.92,0.51,0.65,0.88,1.0,1.14
a_1,0.44,0.66,0.64,0.62,0.59,30.28,1.05,0.78,0.88,1.02,0.93,0.86,0.37,0.88,1.24,0.77
h_1,0.77,1.18,0.67,0.74,0.63,0.74,4.84,1.59,1.07,0.97,1.1,1.08,0.94,0.71,1.23,1.53
g_1,0.64,0.54,0.75,1.68,0.57,0.7,1.01,5.8,0.74,1.26,1.89,1.27,1.14,1.13,1.22,0.71
d_0,0.6,0.87,2.31,0.34,0.66,0.65,1.13,1.04,2.71,0.72,1.13,1.01,1.05,1.1,0.91,1.17
c_0,0.71,0.96,0.43,0.86,0.56,0.62,1.25,1.42,0.98,3.55,1.29,3.75,1.45,1.16,1.21,1.32
f_0,0.68,0.48,0.8,0.74,0.72,0.79,1.27,1.23,1.35,1.15,3.81,1.55,1.68,1.39,3.24,1.12
b_0,0.83,0.9,0.86,1.01,0.28,0.47,1.29,1.64,0.92,1.46,1.21,4.5,3.19,1.28,1.22,1.24
a_0,0.8,0.83,0.7,0.73,0.62,0.44,1.37,1.47,0.96,1.33,1.73,1.15,4.92,1.44,1.46,1.03
h_0,0.61,1.34,0.72,0.88,0.59,0.58,0.71,1.46,1.23,1.27,0.89,1.07,1.45,0.73,1.13,1.58
e_0,0.28,0.96,0.72,1.01,0.74,0.82,1.48,1.09,0.9,1.43,1.12,1.28,0.96,1.33,4.92,1.24
g_0,0.61,0.71,0.83,1.53,0.64,0.62,1.17,0.8,0.88,0.99,2.02,1.28,1.11,1.18,1.43,0.82
