,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,89.27,19.29,19.06,23.07,24.29,63.0,1848.35,5098.69,4216.22,5745.31,7964.51,,19459.34,28115.05,28744.27,36746.61
e_1,8.78,105.23,17.21,15.26,24.4,83.29,2046.81,6846.83,3920.2,3148.89,8556.22,10045.19,23272.59,16782.94,,46556.48
d_1,9.28,12.14,151.52,13.3,22.91,49.09,1623.51,,6334.81,2805.59,5508.74,9614.0,17877.09,21562.78,25333.62,37983.6
c_1,7.57,11.24,19.5,152.43,27.14,65.19,1262.18,3143.21,,4122.32,5808.21,10519.54,17139.93,22899.83,33641.73,36170.18
b_1,7.57,11.06,12.3,16.07,175.15,94.42,1974.9,4293.41,3693.96,2827.06,,8684.78,16605.76,12205.26,19623.82,40952.57
a_1,5.37,6.48,13.29,10.49,9.62,492.74,1070.31,2417.77,2406.32,2612.11,,7205.65,10627.46,,23388.25,18215.45
h_1,6.03,4.52,6.55,10.84,9.44,33.92,3237.39,1605.18,2196.01,2372.97,2614.5,4274.88,,9160.9,12404.08,25192.52
d_0,4.23,3.88,,13.08,8.01,29.76,944.4,4510.68,2163.38,1612.01,2319.82,4438.21,9849.18,8288.63,14403.68,13969.8
c_0,4.44,5.92,5.75,,8.14,34.37,734.24,1388.01,4839.94,1701.17,4258.29,5215.42,7938.23,8847.03,9982.73,15563.84
g_1,2.51,4.85,11.21,6.77,8.06,20.71,620.7,1301.35,1513.54,6089.24,2592.75,4966.22,5270.95,6064.19,9265.61,
b_0,3.34,3.74,7.95,6.82,,,855.91,1869.96,1587.61,1231.35,6503.44,3598.05,6579.17,11870.75,12179.41,12370.29
f_0,,3.1,6.05,5.0,7.21,19.7,710.42,1251.13,1581.51,1305.14,1837.78,9565.26,6199.87,,19203.72,12113.97
h_0,4.7,3.57,5.85,4.9,7.74,28.27,,1389.82,1369.55,1783.4,2085.07,3649.4,,4581.29,13028.18,16174.57
a_0,2.05,3.13,4.83,4.05,5.79,,641.38,1081.81,1248.25,1196.82,1328.39,,6036.23,17150.82,,
e_0,1.94,,3.78,3.31,5.64,16.11,606.76,1018.8,1045.78,1140.58,1677.57,1619.0,3568.93,,23811.55,8261.2
g_0,2.97,2.07,5.83,4.77,4.26,23.88,504.48,969.68,1170.91,,2096.8,4021.41,4725.26,,9797.49,
