,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.18,0.83,0.67,0.74,0.77,0.7,0.17,0.16,0.14,0.25,0.15,0.32,0.13,0.08,0.13,0.13
c_1,0.73,0.16,0.59,0.77,1.31,0.78,0.19,0.08,0.33,0.22,0.15,0.13,0.18,0.1,0.15,0.12
e_1,0.48,0.87,0.16,0.82,0.73,0.84,0.22,0.18,0.17,0.25,0.17,0.21,0.14,0.14,0.43,0.13
b_1,0.95,0.4,0.79,0.15,0.81,0.83,0.28,0.18,0.23,0.27,0.33,0.16,0.18,0.12,0.15,0.12
d_1,0.8,0.82,1.07,0.77,0.14,0.58,0.2,0.4,0.15,0.12,0.15,0.16,0.18,0.13,0.14,0.07
a_1,0.84,0.9,0.94,0.43,0.67,0.1,0.26,0.2,0.16,0.26,0.2,0.15,0.42,0.12,0.18,0.13
h_1,0.66,0.69,0.49,0.56,0.66,0.56,0.06,0.14,0.14,0.23,0.14,0.12,0.12,0.22,0.12,0.08
d_0,0.69,0.59,0.35,0.73,1.16,0.78,0.19,0.07,0.13,0.2,0.1,0.11,0.12,0.07,0.13,0.08
c_0,0.6,1.6,0.6,0.65,0.31,0.69,0.19,0.21,0.06,0.16,0.12,0.11,0.14,0.09,0.12,0.09
g_1,0.56,0.66,0.71,0.58,0.57,0.66,0.13,0.15,0.13,0.05,0.14,0.13,0.14,0.07,0.12,0.19
b_0,0.49,1.13,0.6,1.1,0.46,0.61,0.17,0.18,0.07,0.18,0.05,0.1,0.12,0.08,0.11,0.1
f_0,1.17,0.77,0.68,0.57,0.43,0.52,0.18,0.13,0.1,0.11,0.13,0.05,0.11,0.1,0.1,0.05
a_0,0.62,0.79,0.58,0.81,0.53,1.03,0.17,0.14,0.1,0.19,0.06,0.12,0.04,0.09,0.11,0.08
h_0,0.53,0.64,0.6,0.71,0.54,0.66,0.28,0.11,0.12,0.16,0.11,0.12,0.09,0.14,0.12,0.08
e_0,0.7,0.64,1.69,0.5,0.51,0.57,0.22,0.12,0.11,0.16,0.11,0.06,0.11,0.08,0.04,0.06
g_0,0.57,0.6,0.58,0.64,0.55,0.59,0.14,0.14,0.12,0.27,0.09,0.12,0.14,0.08,0.1,0.15
