,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,14.57,0.59,0.49,0.76,0.53,0.62,0.91,1.87,0.98,0.86,0.93,0.93,0.82,0.9,0.97,0.41
f_1,1.26,14.25,0.53,0.5,0.48,0.48,0.88,0.89,0.83,0.91,0.8,0.43,0.78,0.89,0.91,0.53
d_1,0.47,0.68,16.98,0.38,0.51,0.57,0.89,0.52,2.07,1.12,1.22,1.08,1.1,1.08,1.11,1.26
c_1,0.48,0.53,0.48,18.17,1.26,0.7,0.86,0.89,0.25,0.63,0.63,0.97,0.84,0.8,0.95,1.08
b_1,0.58,0.55,0.47,0.74,20.91,1.1,0.71,0.79,0.71,0.61,0.3,0.87,1.08,0.76,0.73,0.99
a_1,0.51,0.52,0.74,0.56,0.64,33.5,0.99,0.78,0.77,0.75,1.11,0.83,1.28,0.33,0.88,0.85
h_1,0.73,1.12,0.84,0.7,0.56,0.55,5.08,0.82,1.06,1.62,1.31,1.13,0.64,1.07,1.64,1.44
d_0,0.63,0.76,0.39,2.09,0.74,0.76,1.04,2.51,0.98,1.18,1.3,1.24,1.29,1.11,0.92,1.07
c_0,0.73,0.81,0.96,0.41,0.51,0.56,1.2,1.19,2.93,1.3,3.74,1.4,1.59,1.79,1.22,1.22
g_1,0.63,0.57,1.76,0.73,0.57,0.48,0.98,0.83,1.4,5.93,1.18,1.77,1.31,1.29,0.94,1.33
b_0,0.49,0.98,0.8,0.82,0.34,0.47,1.38,1.34,1.33,1.3,3.61,1.56,1.49,3.45,1.26,1.35
f_0,0.41,0.47,1.01,0.92,0.78,0.77,1.37,1.01,1.25,1.41,1.26,3.97,1.32,1.33,1.43,3.98
h_0,0.67,1.09,0.82,0.72,0.76,0.66,0.65,0.98,1.25,1.6,1.05,1.06,0.78,1.13,1.68,1.07
a_0,0.64,0.83,1.05,0.61,0.68,0.39,1.0,1.44,1.42,1.27,1.79,1.56,1.24,4.65,1.19,1.46
g_0,0.53,0.69,1.56,0.67,0.8,0.69,1.13,0.94,0.89,0.72,1.13,2.2,1.33,0.74,0.61,1.55
e_0,0.35,0.76,1.14,0.77,0.9,0.82,1.61,1.07,0.88,1.3,1.42,1.31,1.29,1.0,1.36,4.34
