,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,10010.93,4830.79,7083.03,5992.01,11277.91,43147.54,7485437.54,28094644.96,12146672.04,17637650.25,30121845.62,41328143.42,165389406.68,186442698.18,180727065.27,477373322.42
f_1,6423.24,14106.47,5252.72,6911.87,9107.06,51352.86,6998865.45,15590430.67,10229233.38,15807433.84,29430618.04,21465268.05,124277784.82,147885443.01,132836227.87,418350522.29
c_1,3494.9,5010.43,15509.2,6494.09,21298.03,55283.92,7833679.88,12977608.93,11704385.89,8576367.35,20394586.35,36524308.59,130121517.82,148065905.91,212732036.68,440278559.9
d_1,3609.86,5256.35,4196.81,21783.32,10977.83,49151.22,7098226.91,9004427.66,15964803.13,33457343.46,37421507.8,41276576.65,162134995.97,217254822.03,223304609.81,529089935.9
b_1,2941.21,4790.95,5474.98,6709.6,40463.82,112053.95,7445163.75,13773953.29,12949813.32,17187457.0,21020870.69,38440721.44,137114842.87,106913376.36,220608602.77,505264965.48
a_1,4503.21,5941.71,4418.62,7687.96,11944.7,259246.23,8944066.04,15504570.77,13283792.94,18262320.86,31742584.96,35892422.71,158276127.89,90761260.76,221094965.43,532466345.87
h_1,4082.29,8233.4,6049.09,7156.43,12756.15,54371.35,17904382.99,16585680.34,19502719.48,15857449.64,29759850.42,43223852.46,108671221.81,178141087.92,225649805.71,615309273.66
d_0,3610.45,5291.8,11362.04,4937.42,13760.0,49852.7,8630680.53,26669256.2,14249018.28,13119477.89,32093189.16,43245956.89,142810574.93,163260163.68,262555238.58,545289236.23
g_1,3740.69,4877.07,6037.08,12348.7,12075.68,51824.89,6936424.86,13035768.57,34824162.93,20784615.23,31826081.18,62063445.35,168712159.27,139245497.91,294567722.9,403674291.46
c_0,4182.3,6151.42,4649.33,9154.21,8639.63,60837.38,9005796.07,17263578.9,15589341.52,33794864.83,63662686.59,50965405.28,185792670.16,244606207.41,288734157.82,580307448.48
b_0,4468.64,6375.6,6879.26,7985.9,7468.82,44733.05,8154563.29,18347201.84,16468466.49,20313928.21,61017261.11,47569752.02,174808394.67,400965843.77,282937309.27,504071614.12
f_0,3263.02,4568.67,6942.55,9758.38,13350.83,51327.52,9256257.15,16491761.68,18144024.75,18505568.98,34588732.14,82010838.11,182270593.63,230189891.98,506291627.19,625575215.09
h_0,4134.07,7539.32,5631.03,9873.88,10004.1,56551.5,4995103.38,16465351.23,17594423.24,19393992.36,31992814.3,39182466.84,118232655.71,179024505.17,223275185.52,757018309.55
a_0,4325.8,7062.96,6849.71,8054.86,10601.01,38021.92,7297164.5,18181791.83,13496178.5,22233125.26,39477352.6,43017039.77,193775190.69,409243039.82,258833600.67,560422530.94
e_0,2932.51,6455.33,6924.41,8522.81,13539.76,62435.78,9946787.08,15835358.41,15023522.12,18826261.9,33675708.51,44986902.08,175908059.1,189951546.79,537834148.56,609898803.82
g_0,3720.13,5048.71,5404.98,13213.26,12213.23,61604.9,8335039.17,14881619.27,12368292.74,21229042.13,32922162.57,68988628.59,168462215.33,169210257.6,320223621.34,406104833.9
