,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.19,0.9,0.82,0.8,0.6,0.41,0.42,0.4,0.4,0.37,0.34,0.27,0.32,0.29,0.34
e_1,0.84,1.0,1.1,0.88,0.91,0.79,0.51,0.6,0.46,0.41,0.4,0.45,0.35,0.32,0.38,0.32
c_1,1.1,0.91,1.0,1.04,1.25,0.72,0.5,0.32,0.41,0.37,0.36,0.34,0.37,0.34,0.26,0.32
d_1,1.2,1.12,0.95,1.0,0.86,0.77,0.5,0.46,0.4,0.56,0.47,0.36,0.37,0.38,0.29,0.27
b_1,1.24,1.11,0.82,1.19,1.0,1.23,0.62,0.47,0.46,0.5,0.44,0.41,0.43,0.33,0.33,0.35
a_1,1.66,1.25,1.41,1.29,0.83,1.0,0.79,0.6,0.66,0.61,0.64,0.58,0.51,0.45,0.47,0.44
h_1,2.39,1.95,1.99,1.94,1.65,1.28,1.0,0.88,0.97,0.78,0.84,0.67,0.67,0.7,0.68,0.71
d_0,2.29,1.63,3.16,2.13,2.18,1.68,1.12,1.0,1.14,0.82,0.94,0.85,0.93,0.8,0.87,0.74
g_1,2.56,2.23,2.45,2.55,2.08,1.5,1.04,0.88,1.0,0.92,0.93,1.01,0.71,0.82,0.73,0.74
c_0,2.52,2.4,2.66,1.78,1.98,1.68,1.22,1.19,1.09,1.0,1.42,0.97,1.01,0.98,0.84,0.84
b_0,2.64,2.44,2.87,2.05,2.3,1.52,1.26,1.09,1.03,0.7,1.0,0.95,0.94,1.41,0.86,0.81
f_0,2.85,2.33,2.75,2.72,2.48,1.84,1.47,1.22,0.93,1.06,1.02,1.0,1.1,1.09,1.37,0.63
h_0,3.81,2.93,2.55,2.63,2.33,1.96,1.46,1.11,1.38,1.02,1.13,0.91,1.0,0.86,0.9,1.02
a_0,3.1,3.15,3.05,2.81,2.88,2.16,1.37,1.24,1.2,1.09,0.74,0.94,1.11,1.0,0.94,0.99
e_0,3.52,2.75,3.73,3.3,2.88,2.02,1.54,1.12,1.37,1.23,1.25,0.73,1.14,1.07,1.01,0.83
g_0,3.1,3.0,3.18,3.72,2.82,2.34,1.36,1.33,1.36,1.27,1.24,1.52,0.99,1.02,1.21,1.0
