,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.84,1.22,1.0,1.0,0.96,1.06,1.42,1.15,0.97,0.96,1.19,0.99,0.95,1.14,1.04
f_1,1.24,1.0,1.05,0.87,1.01,0.88,0.81,1.03,0.97,0.88,0.95,0.88,0.83,0.97,0.83,1.21
c_1,0.81,0.96,1.0,1.1,1.35,1.02,1.01,0.74,1.11,0.9,0.85,0.94,0.97,0.83,0.93,1.09
d_1,1.02,1.15,0.9,1.0,0.93,0.88,1.07,1.04,0.8,1.26,1.07,0.99,1.07,1.12,1.03,0.78
b_1,1.01,0.97,0.76,1.08,1.0,1.56,0.98,0.86,1.01,1.08,0.99,1.04,1.11,0.91,0.93,0.94
a_1,1.02,1.12,0.96,1.14,0.64,1.0,1.2,1.03,1.22,1.1,1.17,0.93,1.1,1.09,1.01,1.07
h_1,0.94,1.2,1.01,0.96,0.99,0.82,1.0,0.9,1.06,0.93,0.91,0.98,0.98,1.03,0.93,1.06
d_0,0.7,0.96,1.39,1.01,1.2,0.92,1.04,1.0,0.95,0.93,1.04,0.99,1.15,0.93,1.18,1.15
g_1,0.88,1.01,0.92,1.21,0.95,0.83,0.93,1.01,1.0,1.04,1.07,1.18,0.9,1.07,1.15,0.89
c_0,1.06,1.11,1.06,0.8,0.87,0.83,1.09,1.09,0.94,1.0,1.45,1.02,1.23,1.17,1.1,1.07
b_0,1.04,1.09,1.19,0.9,0.95,0.82,1.17,0.99,0.92,0.69,1.0,1.0,0.96,1.4,0.95,1.13
f_0,0.81,1.14,1.06,0.97,0.99,1.14,1.01,0.97,0.84,0.99,1.0,1.0,1.02,1.07,1.41,0.82
h_0,1.06,1.18,1.04,0.91,0.88,0.93,1.05,0.89,1.1,0.8,1.02,0.95,1.0,0.9,0.93,1.01
a_0,1.05,0.97,1.19,0.9,1.06,0.88,0.95,1.09,0.96,0.87,0.76,0.9,1.08,1.0,1.02,0.99
e_0,0.9,1.16,1.05,0.94,1.1,0.94,1.02,0.86,0.83,0.91,1.04,0.73,1.11,0.92,1.0,0.95
g_0,1.01,0.83,0.95,1.28,1.07,0.94,0.96,0.87,1.15,0.92,0.92,1.29,0.98,1.07,1.08,1.0
