,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,0.65,0.87,1.05,0.95,0.89,0.79,0.36,0.45,0.37,0.34,0.39,0.31,0.23,0.31,0.31,0.27
d_1,1.08,0.64,1.07,0.96,0.93,0.75,0.41,0.32,0.38,0.37,0.31,0.33,0.27,0.2,0.29,0.28
e_1,0.7,0.94,0.64,1.09,0.94,0.95,0.46,0.47,0.45,0.38,0.42,0.4,0.29,0.3,0.37,0.53
c_1,0.96,1.19,0.86,0.63,1.07,0.78,0.42,0.41,0.25,0.38,0.37,0.31,0.31,0.29,0.31,0.31
b_1,1.11,1.07,1.03,0.69,0.62,1.18,0.51,0.47,0.37,0.44,0.38,0.43,0.31,0.31,0.35,0.35
a_1,1.39,1.39,1.13,1.3,0.74,0.56,0.59,0.51,0.55,0.42,0.46,0.49,0.37,0.37,0.49,0.41
h_1,1.64,1.62,1.48,1.53,1.39,1.39,0.54,0.74,0.58,0.51,0.53,0.53,0.53,0.46,0.44,0.48
g_1,1.76,1.76,1.59,1.8,1.72,1.39,0.65,0.52,0.61,0.6,0.59,0.68,0.42,0.46,0.54,0.54
d_0,1.68,2.13,1.18,2.01,1.88,1.58,0.8,0.91,0.55,0.57,0.65,0.59,0.53,0.52,0.57,0.59
c_0,2.03,1.29,1.75,2.45,1.72,1.66,0.88,0.7,0.88,0.53,0.62,0.74,0.54,0.5,0.64,0.63
f_0,2.14,1.81,1.74,1.84,1.7,1.5,0.82,0.67,0.75,0.62,0.53,0.63,0.51,0.38,0.54,0.69
b_0,2.15,1.69,1.68,2.16,2.04,1.48,0.84,0.75,0.73,0.45,0.66,0.53,0.57,0.49,0.71,0.55
h_0,2.22,1.9,1.95,1.92,2.04,1.71,1.12,0.88,0.8,0.67,0.68,0.64,0.67,0.65,0.61,0.58
g_0,2.04,2.35,2.03,2.14,1.84,1.94,0.84,1.05,0.78,0.79,0.8,0.72,0.53,0.68,0.67,0.63
a_0,2.06,2.15,2.05,2.38,2.46,2.32,1.06,1.01,0.72,0.65,0.8,0.49,0.68,0.58,0.51,0.67
e_0,2.98,2.16,2.04,2.07,2.04,1.74,0.96,0.84,0.86,0.71,0.54,0.83,0.69,0.61,0.8,0.51
