,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,1.0,1.27,1.01,1.44,1.73,3.34,17.33,26.28,32.32,32.78,40.9,46.01,75.27,87.28,75.21,165.06
e_1,0.79,1.0,0.98,1.68,1.97,3.76,19.74,26.02,40.49,33.46,50.42,50.0,85.06,97.79,99.41,168.51
d_1,0.98,1.02,1.0,1.22,1.72,3.18,18.28,20.5,31.29,41.83,39.13,46.11,79.54,83.61,89.63,129.56
c_1,0.68,0.61,0.82,1.0,1.86,2.91,13.83,17.07,15.41,21.21,30.67,25.92,57.11,59.94,64.58,102.65
b_1,0.57,0.5,0.58,0.55,1.0,3.07,11.1,14.11,14.64,19.58,20.82,25.26,49.5,39.95,50.18,78.73
a_1,0.29,0.27,0.31,0.35,0.33,1.0,5.32,7.43,6.81,10.02,11.55,15.27,24.44,21.56,22.47,41.48
h_1,0.06,0.05,0.06,0.07,0.09,0.18,1.0,1.43,1.53,1.51,1.88,2.12,4.03,3.75,4.08,9.33
g_1,0.04,0.04,0.05,0.06,0.07,0.14,0.73,1.0,1.11,1.42,1.93,1.78,2.75,3.67,3.51,6.2
d_0,0.03,0.03,0.03,0.06,0.07,0.15,0.68,0.88,1.0,0.93,1.45,1.41,2.67,2.93,2.78,5.7
c_0,0.03,0.03,0.03,0.05,0.05,0.1,0.64,0.72,1.05,1.0,1.13,1.81,2.54,2.83,2.75,4.42
f_0,0.02,0.02,0.03,0.03,0.05,0.09,0.54,0.51,0.69,0.85,1.0,1.02,1.97,2.06,2.93,3.31
b_0,0.02,0.02,0.02,0.04,0.04,0.07,0.47,0.53,0.67,0.55,0.94,1.0,1.91,2.84,2.03,3.57
h_0,0.01,0.01,0.01,0.02,0.02,0.04,0.25,0.36,0.36,0.39,0.5,0.55,1.0,1.13,0.96,2.04
a_0,0.01,0.01,0.01,0.02,0.02,0.04,0.26,0.26,0.33,0.36,0.5,0.39,0.88,1.0,1.05,1.8
e_0,0.01,0.01,0.01,0.02,0.02,0.04,0.25,0.26,0.35,0.35,0.34,0.51,1.06,0.97,1.0,1.47
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.11,0.16,0.18,0.23,0.31,0.29,0.49,0.54,0.65,1.0
