,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.18,0.06,0.03,0.02,0.02,0.02,0.06,0.06,0.07,0.05,0.06,,0.09,0.06,0.05,0.03
e_1,0.03,2.22,0.02,0.03,0.04,0.03,0.04,0.05,0.12,0.07,0.05,0.06,0.06,0.04,0.06,
d_1,0.03,0.02,2.33,0.02,0.02,0.03,0.06,0.06,,0.12,0.06,0.07,0.1,0.04,0.06,0.04
c_1,0.03,0.03,0.03,2.41,0.04,0.03,0.06,0.05,0.06,,0.04,0.06,0.08,0.06,0.06,
b_1,0.03,0.03,0.02,0.03,2.58,0.03,0.07,0.04,0.05,0.06,,0.04,0.1,0.03,0.07,0.05
a_1,0.04,0.03,0.04,0.02,0.04,3.0,0.05,0.04,0.04,0.06,0.07,0.06,0.12,,0.05,
h_1,0.15,0.11,0.11,0.11,0.06,0.07,2.68,0.25,0.26,0.26,0.22,0.13,,0.2,0.41,0.21
g_1,0.1,0.13,0.15,0.12,0.08,0.09,0.22,2.97,0.23,0.14,0.19,0.32,0.28,,,
d_0,0.17,0.15,,0.28,0.16,0.1,0.26,0.19,2.0,0.32,0.36,0.32,0.34,,0.25,0.27
c_0,0.14,0.11,0.16,,0.11,0.1,0.35,0.22,0.28,2.0,0.56,0.29,0.47,0.24,0.34,0.32
b_0,0.15,0.11,0.14,0.12,,0.11,0.33,0.37,0.3,0.31,2.12,0.28,0.34,0.37,0.38,0.26
f_0,,0.13,0.17,0.13,0.12,0.09,0.32,0.25,0.39,0.37,0.24,2.31,0.35,0.26,0.38,
h_0,0.28,0.21,0.21,0.21,0.22,0.15,,0.39,0.5,0.51,0.47,0.43,,0.44,0.66,0.31
a_0,0.15,0.14,0.12,0.13,0.15,,0.29,,,0.24,0.3,0.31,0.39,2.59,0.47,0.33
g_0,0.21,0.2,0.4,0.18,0.14,0.15,0.32,,0.58,0.41,0.48,0.53,0.58,0.32,,0.3
e_0,0.21,,0.14,,0.1,,0.26,,0.26,0.35,0.31,,0.52,0.31,0.41,2.71
