,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,105.64,20.91,14.38,19.32,23.01,101.53,1755.92,3112.75,4513.45,4611.07,7264.45,,24176.23,17481.35,23997.32,40869.67
e_1,9.73,112.3,12.55,15.79,20.36,71.84,2407.96,3429.55,3949.13,8158.43,8536.59,7991.5,27484.96,15330.25,,39443.21
d_1,10.51,11.69,133.74,13.4,16.59,61.69,1757.02,5891.11,2743.39,,7620.97,9413.85,22865.14,17270.27,27789.64,25847.08
c_1,11.22,11.95,18.47,143.95,28.85,53.82,1677.13,,3344.12,4127.99,7679.88,7756.14,20495.8,12402.37,16708.26,36778.34
b_1,9.92,11.42,12.09,12.81,167.23,,1559.39,3002.03,4734.21,4417.39,,6421.3,22661.08,14954.97,23799.09,29207.56
a_1,4.76,6.27,9.22,11.64,,482.67,1414.78,2792.66,3091.49,3530.63,3948.21,2975.83,15377.28,,,
h_1,7.71,4.86,7.39,7.96,11.16,34.92,3160.13,1474.05,1588.78,2828.8,4381.63,3266.12,,6577.6,10232.78,19653.85
c_0,5.92,6.69,6.24,,10.16,24.07,852.25,4199.33,1400.15,2338.1,4745.21,3443.81,8550.29,10417.09,13939.08,12603.47
g_1,4.0,4.08,8.96,6.35,5.34,21.17,721.79,1690.45,5948.83,1700.62,2095.26,3450.19,6269.08,10241.52,,
d_0,5.86,4.78,,11.26,7.61,29.25,673.93,1525.18,1627.91,5695.81,2609.44,2022.71,7902.93,6904.09,7631.4,14999.03
b_0,4.93,4.99,5.48,5.35,,22.76,424.49,1093.3,1414.9,2166.47,7216.0,2702.94,7630.88,12050.0,7985.17,17904.96
f_0,,4.29,4.66,6.81,8.18,29.65,648.67,1158.54,1403.5,2420.11,2200.68,7255.47,7295.96,6834.07,19867.36,10917.19
h_0,4.18,3.27,4.68,4.65,6.05,20.62,,1287.76,1710.46,2585.81,2650.89,2121.58,,7149.18,8994.18,16425.08
a_0,3.18,3.91,3.98,5.07,4.44,,501.25,998.9,809.17,1667.14,1486.83,1818.1,4316.79,17008.91,7790.56,8040.5
e_0,2.77,,2.98,4.41,5.13,,526.07,774.66,,1555.57,1889.05,1055.62,4440.94,4607.27,21638.42,10529.13
g_0,2.45,2.15,6.88,4.31,5.22,,634.07,1126.13,,1565.66,1170.35,3271.28,3869.56,5882.1,6435.73,
