,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.34,0.33,0.44,0.32,0.24,0.27,0.47,0.5,0.65,0.63,0.49,,0.67,0.51,0.53,0.79
d_1,0.26,2.42,0.25,0.3,0.25,0.27,0.47,0.51,1.02,,0.71,0.58,0.88,0.62,0.58,0.59
e_1,0.26,0.25,2.45,0.28,0.27,0.26,0.53,0.5,0.58,0.99,0.6,0.6,0.74,0.57,,0.87
c_1,0.25,0.23,0.24,2.61,0.48,0.32,0.47,0.57,,0.59,0.66,0.64,0.72,0.53,0.59,1.02
b_1,0.25,0.28,0.27,0.2,2.77,0.52,0.64,0.33,0.64,0.65,,0.81,0.79,0.69,0.56,0.7
a_1,0.25,0.3,0.25,0.26,0.22,3.27,0.62,0.68,0.61,0.58,0.64,0.73,0.95,,,
h_1,0.72,0.55,0.5,0.61,0.46,0.37,3.83,1.35,1.18,1.14,1.16,0.91,,1.04,1.36,1.74
g_1,0.54,0.72,0.56,0.51,0.78,0.42,1.12,4.12,1.07,0.68,1.17,1.6,1.25,1.26,0.88,
c_0,0.63,0.55,0.58,,0.53,0.74,1.06,1.12,3.51,1.46,1.95,1.23,2.06,1.83,1.29,1.51
d_0,0.65,,0.57,0.97,0.55,0.58,1.33,1.12,1.15,3.64,1.33,1.31,1.9,1.11,1.62,1.61
b_0,0.68,0.58,0.76,0.54,,0.53,1.37,1.31,1.2,1.33,3.73,1.5,1.51,2.29,1.21,1.41
f_0,,0.61,0.53,0.66,0.48,0.49,1.58,1.27,1.54,1.25,1.19,3.86,2.05,1.52,2.41,1.58
h_0,1.0,0.63,0.7,0.72,0.86,0.64,,1.83,1.43,1.76,2.03,1.38,,1.46,1.85,2.54
a_0,0.73,0.54,0.8,0.56,0.51,,1.29,0.87,0.98,1.66,0.97,1.52,1.84,4.41,,1.91
e_0,0.59,0.72,,0.66,0.6,,1.36,1.44,1.05,1.27,1.39,1.28,1.53,,4.68,
g_0,0.61,1.16,0.42,0.54,0.97,,1.48,,2.13,1.47,1.85,2.56,2.03,1.53,,
