,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.42,1.08,1.22,1.49,1.3,1.2,2.2,2.54,2.48,4.08,2.58,2.92,3.46,2.84,1.96,3.89
f_1,1.88,2.45,1.07,1.22,1.2,1.13,2.11,2.18,2.3,2.47,2.59,1.55,2.8,2.36,1.89,2.99
d_1,1.14,1.37,2.57,1.1,1.06,1.34,2.45,2.27,4.21,1.96,2.89,2.81,3.36,3.22,2.81,3.42
c_1,1.01,1.27,1.21,2.66,2.01,1.12,2.29,2.48,1.36,2.42,2.22,2.49,3.23,2.1,3.07,2.99
b_1,1.17,1.31,1.2,1.0,2.74,2.0,2.35,2.19,2.89,2.86,1.84,2.58,3.44,2.31,3.06,2.99
a_1,1.3,1.19,1.33,1.32,0.92,3.25,3.02,2.23,2.76,2.75,3.34,2.91,3.88,2.31,3.13,3.01
h_1,1.46,1.68,1.45,1.29,1.08,1.2,4.16,3.17,2.99,2.51,2.72,3.21,2.77,2.91,2.69,4.88
g_1,1.24,1.11,1.89,1.27,1.34,1.3,2.41,4.34,2.89,2.65,3.12,4.6,3.22,2.68,3.21,2.7
c_0,1.32,1.5,1.34,1.16,1.14,1.24,2.66,2.52,4.07,2.98,4.69,3.11,3.77,3.45,3.57,3.93
d_0,1.15,1.59,0.98,2.21,1.39,1.24,2.82,2.6,2.06,3.98,2.69,2.89,3.82,2.44,3.07,3.17
b_0,1.38,1.37,1.53,1.5,1.13,0.95,2.84,2.64,2.67,2.98,4.33,3.16,3.62,5.3,2.76,3.88
f_0,1.12,1.33,1.46,1.62,1.32,1.25,2.65,2.31,3.07,3.02,3.18,4.4,4.1,3.23,5.77,3.39
h_0,1.28,1.83,1.48,1.3,1.18,0.98,2.06,3.37,2.7,2.81,3.14,2.52,3.18,3.63,3.31,4.26
a_0,1.42,1.45,1.4,1.42,1.18,1.13,3.12,2.89,3.28,3.56,2.58,3.05,3.71,4.82,3.59,4.33
e_0,1.01,1.85,1.5,1.58,1.31,1.29,3.23,2.71,2.78,2.87,2.98,2.36,4.02,2.35,5.03,3.78
g_0,1.12,1.18,2.06,1.39,1.27,1.26,2.18,2.63,3.05,2.56,3.37,3.92,3.57,3.17,3.03,3.09
