,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.34,0.84,1.0,0.84,0.78,0.57,0.61,0.6,0.59,0.67,0.61,0.46,0.57,0.43,0.62
e_1,0.75,1.0,1.16,0.87,0.9,0.87,0.71,0.9,0.8,0.64,0.68,0.62,0.73,0.57,0.68,0.49
c_1,1.19,0.86,1.0,1.06,1.37,0.78,0.69,0.49,0.68,0.45,0.62,0.53,0.64,0.48,0.55,0.65
d_1,1.0,1.15,0.94,1.0,0.84,0.81,0.83,0.72,0.55,0.87,0.69,0.69,0.6,0.6,0.57,0.45
b_1,1.19,1.11,0.73,1.18,1.0,1.4,0.7,0.74,0.73,0.62,0.65,0.7,0.66,0.59,0.66,0.55
a_1,1.28,1.14,1.28,1.24,0.71,1.0,0.8,0.92,0.7,0.77,0.7,0.78,0.73,0.63,0.63,0.67
h_1,1.75,1.38,1.44,1.26,1.39,1.25,1.0,0.83,1.18,1.05,0.74,0.79,0.88,0.68,0.71,0.85
d_0,1.69,1.1,2.14,1.51,1.33,1.11,1.21,1.0,1.02,1.04,1.15,0.98,0.97,0.66,0.72,1.31
g_1,1.61,1.31,1.53,1.82,1.4,1.43,0.84,0.97,1.0,0.75,1.23,0.89,0.74,0.96,0.9,1.0
c_0,1.72,1.59,1.96,1.11,1.66,1.27,0.97,0.94,1.31,1.0,0.96,1.36,0.95,0.92,1.01,0.83
f_0,1.7,1.27,1.68,1.51,1.56,1.45,1.33,0.87,0.79,1.05,1.0,1.01,0.91,1.31,0.88,0.84
b_0,1.69,1.6,1.93,1.32,1.4,1.31,1.23,1.02,1.14,0.76,0.98,1.0,0.86,0.8,1.16,0.83
h_0,2.33,1.36,1.56,1.55,1.49,1.38,1.27,1.01,1.31,1.02,1.02,1.15,1.0,0.9,0.85,1.03
e_0,1.75,1.67,2.1,1.43,1.93,1.43,1.51,1.55,1.09,1.06,0.79,1.28,1.11,1.0,1.04,1.09
a_0,2.33,1.48,1.89,1.84,1.63,1.62,1.4,1.37,1.09,1.0,1.09,0.85,1.22,1.0,1.0,1.17
g_0,1.62,1.96,1.56,2.17,1.71,1.53,1.17,0.8,0.99,1.25,1.15,1.17,0.98,0.93,0.89,1.0
