,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,10.09,0.7,0.53,1.02,0.78,0.66,0.88,1.0,2.16,0.85,0.95,1.0,1.1,0.94,0.82,0.95
f_1,1.72,10.03,0.7,0.68,0.61,0.58,0.85,0.79,0.88,0.82,0.89,0.55,0.9,0.9,0.6,0.89
d_1,0.68,0.76,13.77,0.51,0.62,0.73,0.86,0.95,0.61,2.51,1.48,0.94,1.04,1.07,1.05,1.01
c_1,0.53,0.66,0.62,12.81,1.78,0.74,1.07,0.72,0.79,0.45,0.62,0.95,0.88,0.86,0.89,0.96
b_1,0.61,0.81,0.7,0.68,11.52,1.66,1.0,0.9,0.81,0.85,0.59,1.13,0.86,0.71,1.13,0.83
a_1,0.66,0.73,0.8,0.86,0.52,17.54,1.05,1.16,1.07,0.91,1.11,1.09,1.05,0.94,1.1,1.13
h_1,0.64,1.21,0.98,0.7,0.78,0.56,3.22,1.61,0.79,0.97,0.95,1.04,0.75,0.93,0.99,1.5
g_1,0.58,0.65,1.81,0.63,0.76,0.6,0.96,3.74,0.76,1.12,1.05,1.93,1.01,1.05,1.32,0.83
d_0,0.61,0.72,0.48,2.52,0.92,0.87,1.05,1.01,2.01,0.59,1.01,1.13,1.1,1.03,0.95,0.94
c_0,0.77,0.94,1.07,0.58,0.54,0.75,0.95,1.12,1.06,2.42,3.39,1.06,1.39,1.64,1.08,1.24
b_0,0.84,0.86,0.98,0.9,0.57,0.56,1.05,1.28,1.16,1.25,2.41,1.25,1.36,2.55,1.15,1.17
f_0,0.61,0.56,1.08,0.94,0.69,0.83,1.39,1.08,1.28,1.11,1.18,2.27,1.23,1.26,3.28,1.39
h_0,0.86,1.21,1.03,0.71,0.74,0.67,0.77,1.44,0.79,1.1,0.84,1.08,0.8,1.09,0.85,1.61
a_0,0.83,0.97,1.05,0.66,0.67,0.63,1.11,1.04,0.98,1.16,1.31,0.94,1.43,3.03,1.13,1.06
e_0,0.54,0.96,1.23,0.63,0.72,0.86,1.33,1.06,0.92,1.25,1.37,1.36,1.2,1.09,3.32,1.46
g_0,0.57,0.64,1.86,0.73,0.73,0.68,0.91,0.9,0.74,1.27,1.1,2.09,1.14,1.05,1.43,0.84
