,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.05,1.15,2.04,1.65,1.79,1.4,0.67,0.63,0.49,0.68,0.49,0.58,0.42,0.43,0.56,0.41
f_1,1.99,1.05,1.7,1.59,1.43,1.24,0.5,0.55,0.49,0.7,0.53,0.56,0.32,0.45,0.4,0.4
c_1,1.43,1.87,1.05,2.26,1.96,1.44,0.72,0.36,0.6,0.64,0.45,0.47,0.4,0.47,0.47,0.39
d_1,2.15,2.01,1.71,1.04,1.75,1.5,0.61,0.7,0.53,0.47,0.57,0.55,0.39,0.48,0.42,0.27
b_1,2.2,2.45,1.37,2.31,1.06,2.26,0.86,0.66,0.85,0.75,0.8,0.55,0.46,0.55,0.53,0.48
a_1,2.82,3.09,2.79,2.74,1.46,1.07,1.07,0.88,0.81,0.98,0.97,0.71,0.67,0.85,0.6,0.62
h_1,4.85,5.85,4.83,4.93,4.52,3.98,1.28,1.53,1.49,1.87,1.32,1.24,1.21,1.14,1.17,1.13
d_0,3.81,5.64,6.57,6.79,5.92,4.95,2.36,1.42,1.5,2.1,1.71,1.56,1.28,1.38,1.45,1.4
c_0,6.55,6.86,7.3,4.11,5.27,4.53,2.13,2.19,1.41,2.08,2.0,1.59,1.35,1.53,1.49,1.22
g_1,6.01,6.4,6.14,6.32,5.43,4.85,1.69,1.7,1.76,1.28,1.71,1.75,1.13,1.35,1.55,1.48
b_0,6.06,5.93,8.36,5.14,7.86,4.81,2.36,1.86,1.2,2.16,1.4,1.76,1.44,1.71,1.35,1.43
f_0,5.93,9.51,7.3,6.46,6.69,6.44,2.69,2.03,1.94,1.7,1.91,1.43,1.59,1.42,1.75,1.04
h_0,7.91,8.99,7.73,8.19,7.75,6.47,4.04,2.35,2.51,3.1,2.29,2.27,2.07,1.98,1.98,1.71
a_0,8.5,9.45,8.62,7.58,9.76,9.83,3.44,2.56,2.35,2.85,1.63,2.49,1.87,1.52,1.79,1.76
e_0,10.09,10.94,9.09,8.5,7.62,7.97,3.19,2.57,2.69,2.98,2.93,1.63,1.97,2.71,1.59,1.66
g_0,9.67,10.08,9.93,9.33,9.09,7.94,3.05,2.87,2.74,3.39,2.46,2.97,1.77,2.31,2.58,2.15
