,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.12,3.84,4.09,4.3,3.66,3.54,0.9,1.43,0.81,0.83,1.8,0.89,0.46,0.72,0.84,0.9
e_1,2.37,1.12,5.19,4.86,5.22,5.84,1.41,1.51,0.92,0.95,1.25,0.8,0.59,2.06,1.12,0.71
d_1,4.94,4.98,1.11,4.69,3.84,4.11,1.29,0.78,0.9,1.72,0.8,0.93,0.62,0.83,0.72,0.42
c_1,5.1,4.23,6.66,1.13,6.36,4.88,1.4,1.66,2.09,0.57,0.98,1.02,0.66,1.22,1.06,0.72
b_1,6.43,6.73,4.63,2.89,1.13,5.46,1.57,1.69,1.44,1.33,1.05,1.94,1.15,1.18,1.18,0.87
a_1,10.39,9.32,8.77,8.89,5.0,1.14,2.62,2.97,2.0,2.29,2.1,2.4,1.63,1.71,4.16,1.38
h_1,15.23,14.38,15.71,14.8,15.16,11.67,1.72,4.23,3.17,3.0,3.36,2.75,3.24,2.78,2.75,2.44
g_1,17.85,17.29,16.67,17.32,20.39,20.07,4.44,1.74,3.33,3.75,3.68,3.32,1.97,3.69,3.48,3.0
c_0,21.82,23.1,9.61,40.01,19.05,16.24,6.39,6.4,2.23,7.11,3.7,4.83,2.79,3.9,3.41,2.44
d_0,20.61,11.33,36.82,21.93,23.35,22.9,7.19,7.24,4.28,2.36,4.09,4.21,2.81,5.69,5.49,3.38
f_0,40.12,17.55,19.53,24.88,18.92,23.19,5.94,3.51,4.02,4.91,2.22,4.09,3.07,6.22,4.12,1.77
b_0,21.44,17.64,19.32,30.21,37.12,20.53,7.02,5.82,2.29,4.72,3.9,2.29,3.14,4.15,3.99,2.89
h_0,29.38,28.87,29.71,32.54,28.38,33.07,14.03,9.22,5.52,6.04,5.52,5.52,6.92,5.24,5.49,3.72
e_0,51.82,42.12,25.07,38.96,33.28,21.26,10.97,9.47,5.26,6.1,3.08,5.91,5.23,2.34,5.26,3.52
a_0,35.88,31.13,32.14,42.91,40.77,44.65,8.15,9.1,5.18,7.55,5.32,3.0,4.74,5.45,2.58,4.05
g_0,45.5,37.29,37.61,39.48,41.96,39.69,7.13,14.79,7.29,7.46,7.5,7.41,4.58,6.63,5.41,9.26
