,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,1.0,0.97,1.05,1.09,1.95,2.1,19.47,25.13,19.4,23.94,48.72,37.97,83.88,83.22,74.49,91.3
f_1,1.03,1.0,1.14,1.47,1.14,2.64,13.85,27.77,23.69,29.58,31.26,41.25,67.2,57.26,82.1,107.21
d_1,0.95,0.88,1.0,1.03,1.39,2.93,15.98,18.19,27.45,40.76,37.21,46.45,80.08,93.86,76.19,74.7
e_1,0.92,0.68,0.97,1.0,1.19,3.06,14.76,20.09,33.82,27.94,39.57,38.68,82.82,107.72,75.52,102.75
b_1,0.51,0.88,0.72,0.84,1.0,3.78,16.19,18.07,23.78,26.66,30.2,35.8,55.13,61.6,73.03,68.59
a_1,0.48,0.38,0.34,0.33,0.26,1.0,4.6,8.22,8.76,10.72,11.64,14.65,25.23,33.09,24.37,35.52
h_1,0.05,0.07,0.06,0.07,0.06,0.21,1.0,1.49,1.73,1.99,2.57,2.94,4.95,3.58,5.07,7.4
g_1,0.04,0.04,0.05,0.05,0.06,0.12,0.69,1.0,1.09,1.32,2.49,1.74,2.62,4.22,4.68,4.39
d_0,0.05,0.04,0.04,0.03,0.04,0.1,0.59,0.88,1.0,1.05,1.77,1.47,2.66,3.14,3.45,3.85
c_0,0.04,0.03,0.03,0.03,0.04,0.1,0.53,0.74,0.91,1.0,1.34,1.93,2.78,3.18,3.64,3.85
f_0,0.02,0.03,0.03,0.02,0.03,0.09,0.36,0.41,0.64,0.75,1.0,1.18,1.94,2.82,2.62,2.15
b_0,0.02,0.03,0.02,0.03,0.03,0.07,0.34,0.6,0.63,0.53,0.79,1.0,1.91,1.97,3.83,2.34
h_0,0.01,0.02,0.01,0.01,0.02,0.04,0.21,0.39,0.37,0.38,0.58,0.51,1.0,0.97,1.28,1.47
e_0,0.01,0.02,0.01,,0.02,0.03,0.25,0.22,0.29,0.3,0.37,0.51,1.18,1.0,1.09,1.32
a_0,0.01,0.01,0.01,0.01,0.01,,0.2,0.22,0.29,0.27,0.39,0.25,0.78,0.81,1.0,1.25
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.14,0.22,0.26,0.26,0.48,0.4,0.68,0.72,0.81,1.0
