,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.05,1.26,0.68,0.72,0.68,0.57,0.86,0.97,0.77,0.81,0.87,0.59,0.92,1.01,0.91,0.85
e_1,0.8,2.04,0.63,1.01,0.7,0.64,0.98,1.61,0.92,0.95,1.05,1.02,0.87,0.96,0.96,0.64
d_1,0.76,0.75,2.29,0.56,0.68,0.8,0.93,0.59,0.94,1.7,1.18,1.11,1.13,0.97,1.03,1.05
c_1,0.8,0.66,0.79,2.21,1.31,0.76,0.85,0.77,1.0,0.51,0.61,0.95,1.08,0.92,0.88,0.89
b_1,0.7,0.67,0.76,0.87,2.55,1.44,0.88,0.89,0.9,0.87,0.65,0.93,0.92,0.72,0.99,0.94
a_1,0.81,0.73,0.79,0.76,0.69,3.57,1.12,0.97,1.0,1.0,1.19,0.99,1.0,0.79,1.03,1.0
h_1,1.09,0.76,0.85,0.87,0.77,0.76,2.0,1.01,1.32,0.94,1.03,0.97,0.83,1.01,1.41,1.08
d_0,0.87,0.78,0.6,1.48,0.83,0.61,1.12,1.6,0.88,0.76,0.95,1.12,1.03,1.07,1.15,1.21
g_1,0.84,0.7,1.33,0.76,0.73,0.76,0.96,0.7,2.48,0.97,1.03,1.58,1.01,1.0,0.76,1.12
c_0,0.92,0.88,1.02,0.62,0.52,0.67,1.12,1.08,0.99,1.79,2.17,1.1,1.16,1.52,1.23,1.3
b_0,0.92,0.87,1.03,0.79,0.45,0.55,1.25,1.16,1.12,1.22,1.92,1.26,1.14,2.28,1.3,1.33
f_0,0.63,0.67,0.95,0.84,0.98,0.78,1.23,1.14,1.15,1.14,1.18,1.91,1.16,1.09,1.03,2.39
h_0,1.1,0.75,0.92,0.82,0.89,0.64,0.81,0.87,1.49,0.88,0.98,1.07,0.92,1.05,1.34,1.02
a_0,0.93,0.83,0.95,0.91,0.78,0.54,1.21,1.15,1.07,1.0,1.11,1.1,1.18,2.18,1.09,1.1
g_0,0.75,0.78,1.25,0.88,0.78,0.86,1.01,0.94,0.85,1.02,1.14,1.59,1.11,0.99,0.75,1.28
e_0,0.96,0.55,1.03,0.8,0.84,0.75,1.27,0.94,1.31,1.03,1.19,1.11,1.27,1.06,1.07,2.81
