,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,2.42,1.23,0.96,0.95,1.13,1.3,2.02,1.91,1.78,3.97,2.8,2.74,3.34,2.79,2.89,2.78
f_1,1.04,2.45,1.75,1.17,1.0,0.88,2.0,2.18,2.34,2.23,2.11,1.42,2.69,2.29,3.42,1.55
e_1,1.12,1.02,2.45,1.26,1.21,1.13,2.37,1.94,3.83,2.63,2.66,2.55,2.92,2.56,2.85,1.58
c_1,1.17,1.04,1.01,2.67,1.78,0.98,2.35,2.23,2.11,1.08,1.82,2.78,3.23,2.24,2.63,2.58
b_1,1.21,1.15,1.11,1.02,2.77,1.83,1.93,2.05,2.28,2.17,1.62,2.82,2.89,2.59,3.36,2.65
a_1,1.17,1.21,1.08,1.22,0.93,3.29,2.53,2.72,2.48,2.46,2.94,2.65,3.05,1.94,3.48,2.95
h_1,1.3,1.62,1.05,1.29,1.14,1.03,3.99,3.25,2.62,2.36,2.49,2.42,2.75,2.96,3.95,2.88
g_1,1.75,1.18,1.17,1.34,1.2,0.98,2.09,4.32,2.38,2.67,2.59,3.43,3.13,2.42,1.68,2.95
d_0,0.94,1.26,1.07,2.13,1.24,1.15,2.57,2.44,3.88,2.29,2.98,2.37,3.64,2.33,3.22,3.6
c_0,1.16,1.49,1.13,1.06,1.2,1.29,2.99,2.38,3.03,3.79,4.6,2.85,3.78,3.31,3.15,3.57
b_0,1.33,1.51,1.2,1.46,0.81,1.09,2.67,2.48,2.48,2.3,4.1,2.36,3.82,4.33,3.81,2.52
f_0,1.36,1.11,1.16,1.16,1.2,1.28,2.49,2.27,2.88,2.92,3.02,4.35,3.58,3.4,3.29,6.11
h_0,1.29,1.83,1.32,1.12,1.14,0.98,1.74,2.86,2.38,2.69,2.79,2.49,2.51,2.74,4.22,2.3
a_0,1.19,1.48,1.33,1.4,1.14,0.66,2.55,2.42,3.21,2.97,2.65,2.54,3.82,4.77,3.49,2.84
g_0,1.78,1.04,1.25,1.46,1.14,1.05,1.99,2.17,2.27,2.92,2.79,3.91,3.26,2.92,2.88,3.04
e_0,1.45,1.61,0.89,1.19,1.28,1.17,2.38,2.51,2.26,2.44,3.3,2.11,4.22,2.71,3.05,5.12
