,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.42,1.54,1.15,1.27,1.34,1.23,0.5,0.55,0.65,0.52,0.63,1.01,0.36,0.64,0.63,0.58
e_1,0.8,0.41,1.34,1.55,1.41,1.23,0.85,0.57,0.93,0.58,0.54,0.61,0.47,0.59,0.59,1.38
d_1,1.38,1.46,0.4,1.29,1.23,1.22,0.67,1.62,0.45,0.62,0.61,0.52,0.51,0.56,0.36,0.51
c_1,1.32,1.02,1.63,0.39,1.35,1.27,0.62,0.37,0.87,0.95,0.57,0.65,0.5,0.6,0.39,0.68
b_1,1.39,1.37,1.29,0.83,0.36,1.79,0.79,0.7,0.79,0.71,1.09,0.52,0.44,0.5,0.53,0.58
a_1,1.47,1.53,1.18,1.23,0.8,0.3,0.78,0.71,0.71,0.66,0.68,0.63,0.67,1.06,0.43,0.62
h_1,1.17,0.83,1.02,1.12,0.96,0.8,0.27,0.4,0.54,0.43,0.41,0.34,0.81,0.47,0.47,0.34
d_0,1.03,0.59,1.65,1.3,1.0,0.89,0.52,0.27,0.58,0.45,0.36,0.4,0.49,0.39,0.43,0.47
g_1,1.06,0.91,1.17,0.85,0.87,0.95,0.46,0.49,0.23,0.46,0.45,0.52,0.3,0.36,0.53,0.39
c_0,1.44,0.93,0.59,2.23,1.0,0.95,0.53,0.46,0.52,0.26,0.45,0.39,0.39,0.47,0.39,0.49
b_0,0.99,0.99,0.84,1.16,2.02,0.74,0.58,0.59,0.42,0.25,0.25,0.4,0.34,0.47,0.34,0.3
f_0,1.48,0.91,0.95,0.8,1.02,0.94,0.66,0.45,0.34,0.39,0.38,0.25,0.37,0.39,0.28,0.48
h_0,1.22,0.98,0.8,0.8,1.05,0.83,0.67,0.41,0.59,0.43,0.43,0.44,0.66,0.41,0.38,0.42
a_0,0.95,0.89,1.22,0.92,1.17,1.7,0.51,0.47,0.55,0.34,0.24,0.35,0.39,0.22,0.37,0.45
g_0,0.89,0.87,1.04,1.07,0.93,1.16,0.39,0.38,0.89,0.43,0.42,0.45,0.29,0.41,0.54,0.52
e_0,0.85,1.35,0.97,0.87,0.94,0.99,0.54,0.42,0.58,0.4,0.41,0.28,0.43,0.47,0.37,0.2
