,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.78,1.19,0.92,0.98,0.85,0.75,0.9,0.67,0.71,0.67,0.73,0.6,0.61,0.63,0.62
f_1,1.29,1.0,0.97,1.0,0.82,0.82,0.62,0.66,0.61,0.74,0.63,0.54,0.5,0.58,0.43,0.61
c_1,0.83,1.03,1.0,1.06,1.36,0.85,0.67,0.51,0.59,0.63,0.48,0.6,0.58,0.57,0.56,0.58
d_1,1.09,1.01,0.96,1.0,0.96,0.82,0.69,0.66,0.81,0.55,0.7,0.64,0.59,0.55,0.59,0.47
b_1,1.04,1.25,0.77,1.05,1.0,1.41,0.81,0.66,0.89,0.74,0.68,0.64,0.63,0.51,0.6,0.61
a_1,1.16,1.21,1.16,1.17,0.72,1.0,0.95,0.82,0.72,0.83,0.8,0.81,0.77,0.63,0.73,0.67
h_1,1.36,1.6,1.5,1.39,1.23,1.08,1.0,0.9,0.84,1.12,0.87,0.84,0.84,0.8,0.79,0.89
d_0,1.14,1.43,1.92,1.46,1.55,1.26,1.08,1.0,0.83,1.01,0.93,0.93,0.97,0.83,0.9,0.96
c_0,1.51,1.59,1.68,1.24,1.2,1.33,1.15,1.2,1.0,0.97,1.25,0.93,1.0,1.02,0.93,0.87
g_1,1.44,1.36,1.54,1.78,1.34,1.23,0.91,0.98,0.99,1.0,0.97,1.13,0.82,0.79,0.86,0.79
b_0,1.44,1.55,2.04,1.42,1.53,1.12,1.15,1.08,0.75,1.07,1.0,0.92,0.99,1.21,0.84,0.89
f_0,1.36,1.78,1.67,1.51,1.58,1.31,1.18,1.06,1.07,0.86,1.05,1.0,1.05,0.91,1.25,0.74
h_0,1.69,1.95,1.73,1.68,1.61,1.29,1.17,1.04,0.99,1.21,1.02,1.01,1.0,0.92,0.92,1.07
a_0,1.6,1.82,1.69,1.88,1.98,1.61,1.29,1.12,0.98,1.22,0.84,1.09,1.09,1.0,0.92,0.91
e_0,1.6,2.14,1.66,1.63,1.64,1.42,1.23,1.08,1.04,1.15,1.15,0.8,1.05,1.13,1.0,0.96
g_0,1.6,1.73,1.66,2.05,1.66,1.49,1.1,1.04,1.1,1.3,1.1,1.32,0.9,1.04,1.1,1.0
