,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,5.74,0.58,0.45,0.64,0.67,0.62,2.44,4.69,2.28,3.19,2.7,2.79,4.43,3.94,3.77,0.9
f_1,1.24,6.15,0.61,0.56,0.51,0.38,1.69,2.88,1.63,2.74,2.82,0.56,4.34,2.55,4.36,1.61
d_1,0.56,0.66,6.34,0.47,0.6,0.62,2.49,0.78,2.01,5.43,3.64,3.35,4.39,2.67,4.61,2.84
c_1,0.52,0.56,0.6,6.41,1.04,0.64,2.2,2.94,2.3,0.61,2.22,2.64,4.52,2.39,4.07,3.42
b_1,0.54,0.52,0.69,0.61,7.03,1.18,2.39,2.51,2.09,2.75,0.7,3.23,3.89,2.02,4.03,3.2
a_1,0.49,0.58,0.63,0.64,0.71,10.41,1.95,3.03,2.04,3.57,3.19,3.63,4.07,0.57,2.91,3.38
h_1,0.88,1.47,1.09,0.95,0.86,1.01,15.74,5.57,5.32,4.08,4.08,4.7,3.29,5.83,12.48,5.71
d_0,1.0,1.12,0.26,2.18,1.03,1.08,3.25,12.72,2.92,4.2,5.71,4.96,8.69,4.39,6.52,5.79
g_1,0.74,1.05,1.76,0.96,0.9,0.59,3.61,4.59,20.2,4.67,5.37,8.66,6.58,5.55,3.67,6.86
c_0,0.96,1.43,1.12,0.58,0.96,1.23,4.57,5.81,4.05,14.01,10.55,5.27,8.42,5.57,7.62,5.29
b_0,1.15,1.23,0.93,1.28,0.37,0.62,4.47,5.33,4.17,4.62,17.47,6.48,9.87,13.23,7.39,4.96
f_0,0.96,0.42,1.38,1.36,1.03,0.87,4.53,5.15,4.94,5.27,5.4,16.75,8.39,5.81,10.66,11.24
h_0,1.14,1.51,0.98,1.31,0.98,0.72,1.57,4.63,4.94,4.3,5.73,4.41,2.34,5.45,7.79,6.59
a_0,0.95,1.28,1.2,1.12,0.76,,4.65,6.09,5.65,5.05,4.92,7.59,11.36,23.06,9.66,6.7
g_0,0.83,0.93,1.9,1.07,1.05,0.88,2.95,4.89,1.73,4.53,5.14,8.76,7.62,4.47,4.21,5.58
e_0,0.31,1.59,1.46,1.38,0.66,0.99,3.78,4.69,3.48,5.98,7.31,4.89,8.11,5.96,7.78,25.33
