,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.43,0.61,0.99,1.02,0.92,0.85,0.27,0.3,0.19,0.19,0.21,0.24,0.17,0.14,0.22,0.17
f_1,0.89,0.42,0.86,0.92,0.88,0.83,0.2,0.31,0.21,0.2,0.2,0.24,0.16,0.1,0.18,0.12
d_1,1.05,1.04,0.4,1.0,0.88,0.82,0.24,0.18,0.26,0.19,0.21,0.19,0.19,0.13,0.17,0.08
c_1,0.79,1.0,1.24,0.4,1.0,0.95,0.28,0.28,0.13,0.25,0.2,0.2,0.19,0.13,0.19,0.15
b_1,1.07,1.18,1.07,0.63,0.38,1.07,0.32,0.3,0.21,0.28,0.31,0.24,0.2,0.16,0.2,0.16
a_1,1.35,1.44,1.3,1.27,0.69,0.32,0.46,0.39,0.29,0.31,0.34,0.24,0.33,0.21,0.25,0.21
h_1,1.72,1.87,1.66,1.7,1.71,1.54,0.28,0.48,0.4,0.38,0.39,0.36,0.33,0.34,0.3,0.25
g_1,1.9,2.17,1.75,1.77,1.73,1.6,0.42,0.26,0.42,0.42,0.43,0.36,0.37,0.27,0.31,0.3
d_0,1.26,1.9,2.66,2.02,2.18,2.02,0.59,0.59,0.31,0.42,0.46,0.41,0.42,0.31,0.42,0.34
c_0,2.08,2.13,1.19,3.06,2.33,1.86,0.59,0.52,0.59,0.29,0.45,0.36,0.42,0.29,0.37,0.24
b_0,2.04,2.04,1.56,2.55,2.93,1.86,0.6,0.58,0.5,0.25,0.28,0.4,0.36,0.29,0.4,0.3
f_0,2.34,3.36,2.04,2.28,2.05,1.99,0.59,0.43,0.53,0.45,0.43,0.26,0.42,0.37,0.38,0.22
a_0,2.12,2.57,2.19,2.37,2.74,2.46,0.62,0.6,0.51,0.38,0.3,0.41,0.29,0.37,0.48,0.35
h_0,2.43,2.55,2.28,2.56,2.17,1.95,0.86,0.62,0.51,0.46,0.5,0.43,0.44,0.43,0.43,0.33
e_0,3.34,3.34,2.46,2.43,2.29,2.09,0.66,0.63,0.6,0.5,0.52,0.26,0.44,0.3,0.27,0.29
g_0,3.29,3.17,2.49,3.07,2.52,2.35,0.62,0.95,0.62,0.51,0.64,0.49,0.47,0.34,0.49,0.44
