,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,2.17,0.23,0.18,0.26,0.21,0.16,0.37,1.02,0.36,0.39,0.45,0.44,0.6,0.14,0.38,0.49
f_1,0.41,2.25,0.2,0.22,0.21,0.16,0.4,0.41,0.28,0.42,0.49,0.08,0.56,0.32,0.39,0.41
d_1,0.22,0.23,2.39,0.17,0.2,0.14,0.43,0.12,0.36,0.99,0.55,0.52,0.6,0.44,0.33,0.4
c_1,0.2,0.22,0.24,2.42,0.37,0.19,0.45,0.36,0.35,0.08,0.39,0.44,0.53,0.29,0.38,0.57
b_1,0.26,0.21,0.21,0.2,2.53,0.34,0.4,0.5,0.37,0.28,0.07,0.53,0.69,0.32,0.22,0.52
a_1,0.21,0.29,0.25,0.2,0.16,3.11,0.38,0.52,0.3,0.67,0.45,0.41,0.58,0.38,,0.55
h_1,0.35,0.61,0.42,0.4,0.37,0.25,2.85,0.86,0.75,0.71,0.78,0.55,0.26,0.49,0.52,0.86
d_0,0.44,0.43,0.11,0.77,0.38,0.22,0.65,2.22,0.63,0.69,0.64,0.9,0.78,0.54,0.63,0.76
g_1,0.37,0.34,0.64,0.37,0.35,0.27,0.53,0.68,3.17,0.71,0.66,1.27,0.92,0.76,0.82,0.25
c_0,0.42,0.53,0.55,0.18,0.26,0.21,0.82,0.66,0.67,2.37,1.53,0.76,0.98,0.8,0.7,0.99
b_0,0.6,0.47,0.47,0.35,0.07,0.19,0.71,0.81,0.66,0.91,2.47,0.82,1.07,0.81,1.51,0.81
f_0,0.52,0.22,0.38,0.35,0.35,0.33,0.81,0.88,0.86,0.99,0.95,2.56,1.03,1.46,0.41,1.04
h_0,0.45,0.58,0.45,0.37,0.24,0.22,0.33,0.87,0.85,0.82,0.81,0.68,0.48,0.74,0.53,1.3
e_0,0.12,0.64,0.4,0.5,0.34,0.23,0.96,0.88,0.64,1.02,0.81,0.99,0.98,2.96,0.66,0.87
a_0,0.41,0.54,0.51,0.45,0.22,,0.8,0.78,0.95,0.74,0.94,0.62,1.03,0.92,2.97,0.86
g_0,0.3,0.37,0.61,0.53,0.38,0.19,0.68,0.73,,0.82,0.57,1.12,0.84,0.66,0.48,0.33
