,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.04,1.09,1.8,1.5,1.53,1.31,0.62,0.58,0.48,0.58,0.49,0.54,0.36,0.41,0.48,0.38
f_1,1.83,1.04,1.59,1.56,1.31,1.27,0.49,0.5,0.44,0.65,0.46,0.47,0.28,0.38,0.32,0.38
c_1,1.3,1.7,1.05,1.79,1.9,1.29,0.57,0.34,0.51,0.54,0.39,0.42,0.35,0.4,0.4,0.35
d_1,1.82,1.58,1.64,1.04,1.47,1.29,0.58,0.58,0.51,0.4,0.48,0.45,0.35,0.4,0.41,0.26
b_1,1.82,2.24,1.2,1.77,1.05,2.22,0.74,0.55,0.78,0.7,0.63,0.51,0.42,0.43,0.47,0.39
a_1,2.31,2.41,2.26,2.29,1.3,1.05,1.04,0.78,0.68,0.87,0.78,0.74,0.59,0.66,0.63,0.52
h_1,4.06,4.64,4.67,4.15,3.67,3.33,1.22,1.34,1.19,1.73,1.26,1.15,1.08,1.06,0.99,0.96
d_0,3.46,5.03,5.8,5.7,5.27,4.29,2.03,1.32,1.44,1.89,1.49,1.44,1.28,1.22,1.37,1.29
c_0,5.13,5.21,6.43,3.69,4.42,4.56,2.07,2.07,1.35,1.72,1.69,1.51,1.31,1.42,1.34,1.09
g_1,5.03,4.84,5.4,5.33,4.66,4.16,1.62,1.68,1.6,1.26,1.55,1.6,1.02,1.16,1.26,1.07
b_0,5.3,5.6,7.92,4.93,6.36,4.25,2.26,1.94,1.12,2.08,1.35,1.58,1.38,1.63,1.33,1.21
f_0,5.27,7.58,5.97,5.61,5.62,4.81,2.35,1.84,1.93,1.52,1.83,1.33,1.5,1.47,1.71,0.97
h_0,7.74,7.98,7.47,7.17,7.03,5.58,3.01,2.17,2.01,2.69,2.01,2.02,1.76,1.63,1.75,1.66
a_0,7.13,7.89,7.75,8.72,9.91,8.66,3.03,2.46,1.97,2.9,1.52,2.28,1.74,1.48,1.77,1.47
e_0,7.81,10.29,7.57,7.23,7.63,6.03,2.76,2.4,2.17,2.68,2.43,1.43,1.8,2.15,1.47,1.57
g_0,7.77,8.33,7.84,9.05,7.65,7.29,2.52,2.39,2.31,3.27,2.35,2.56,1.51,2.01,2.1,1.85
