,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.41,1.16,1.53,1.15,1.15,1.12,2.51,4.13,2.24,2.52,2.86,3.21,3.46,2.97,2.15,3.32
f_1,1.83,2.46,1.19,1.21,1.12,0.95,1.96,2.71,2.37,2.63,2.78,1.83,2.8,2.67,2.01,3.38
c_1,1.07,1.31,2.53,1.29,2.04,1.03,2.17,2.14,2.15,1.23,1.8,2.51,3.21,2.58,2.61,3.18
d_1,1.24,1.28,0.92,2.56,1.29,1.21,2.34,2.12,2.55,4.42,3.12,2.9,3.27,3.08,2.92,2.93
b_1,1.11,1.21,1.05,1.15,2.75,2.38,2.56,2.48,2.45,2.81,1.83,2.58,3.87,2.37,2.96,3.34
a_1,1.21,1.47,1.48,1.26,0.88,3.27,2.68,2.59,2.1,2.47,3.37,2.8,3.37,1.87,3.04,3.47
h_1,1.1,1.83,1.52,1.4,1.28,1.21,4.21,2.39,2.99,2.42,2.89,2.38,3.34,2.72,3.22,4.59
d_0,1.15,1.29,2.3,0.78,1.46,1.36,3.08,4.02,2.59,2.1,2.71,2.9,3.77,2.48,3.17,3.32
g_1,1.3,1.17,1.28,1.96,1.23,1.17,2.53,2.45,4.59,2.92,3.09,4.1,3.11,2.65,3.15,2.79
c_0,1.68,1.44,1.33,1.22,1.02,1.35,2.93,3.39,2.8,4.16,4.62,2.8,3.65,3.23,2.84,3.49
b_0,1.4,1.26,1.75,1.43,1.01,1.04,2.74,2.98,2.55,2.53,4.27,2.99,3.51,5.21,3.55,3.92
f_0,1.16,1.28,1.44,1.33,1.35,1.41,3.27,2.95,2.68,3.37,3.27,4.56,3.89,3.09,5.85,3.56
h_0,1.18,1.93,1.34,1.49,1.07,1.15,2.24,2.55,3.28,2.99,3.01,3.13,3.07,3.14,3.22,4.47
a_0,1.43,1.35,1.41,1.54,1.4,0.8,2.73,3.16,2.72,3.05,2.43,2.97,3.56,4.85,3.37,3.81
e_0,1.06,1.78,1.62,1.35,1.3,1.29,3.07,2.81,2.91,3.2,2.91,2.5,4.14,3.02,5.02,3.94
g_0,1.13,1.38,1.36,1.98,1.22,1.28,2.33,2.5,2.21,3.14,3.12,4.08,3.96,3.24,3.43,3.26
