,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.07,1.05,0.87,0.92,0.83,0.65,0.57,0.88,0.73,0.71,0.63,0.58,0.56,0.56,0.49
f_1,0.95,1.0,1.25,0.98,0.85,0.88,0.63,0.67,0.6,0.62,0.69,0.51,0.51,0.56,0.48,0.54
e_1,0.93,0.79,1.0,1.2,0.96,0.81,0.75,0.75,0.67,0.64,0.9,0.72,0.66,0.6,0.68,0.63
c_1,1.17,1.04,0.82,1.0,1.39,0.84,0.73,0.73,0.58,0.53,0.47,0.63,0.59,0.6,0.56,0.54
b_1,1.08,1.17,1.02,0.73,1.0,1.42,0.81,0.72,0.76,0.68,0.55,0.64,0.68,0.59,0.6,0.6
a_1,1.19,1.16,1.22,1.17,0.71,1.0,0.9,0.84,0.77,0.92,0.87,0.69,0.81,0.84,0.76,0.67
h_1,1.48,1.6,1.31,1.34,1.31,1.15,1.0,1.12,0.88,0.85,0.79,0.89,0.74,0.82,0.81,0.93
g_1,1.75,1.59,1.29,1.38,1.36,1.19,0.87,1.0,1.0,0.89,0.84,1.1,0.81,0.82,0.86,0.81
c_0,1.17,1.68,1.48,1.68,1.25,1.3,1.09,0.94,1.0,1.39,1.07,1.03,0.99,1.09,0.91,0.93
b_0,1.37,1.65,1.59,1.84,1.42,1.03,1.16,1.1,0.74,1.0,1.09,0.96,0.99,1.16,0.92,0.9
d_0,1.31,1.41,1.15,2.2,1.85,1.17,1.28,1.22,0.88,0.88,1.0,1.04,0.91,0.89,1.05,0.92
f_0,1.64,1.79,1.41,1.65,1.53,1.4,1.13,0.92,1.01,1.09,0.98,1.0,0.99,0.89,1.44,0.75
h_0,1.73,1.95,1.51,1.74,1.46,1.21,1.36,1.27,0.99,1.03,1.07,1.03,1.0,0.92,0.96,1.13
a_0,1.78,1.75,1.68,1.76,1.62,1.29,1.22,1.2,0.97,0.85,1.11,1.19,1.12,1.0,0.91,1.17
e_0,1.68,2.12,1.51,1.89,1.73,1.32,1.17,1.1,1.06,1.12,0.94,0.72,1.03,1.09,1.0,1.04
g_0,2.03,1.82,1.65,1.84,1.59,1.49,1.06,1.21,1.09,1.15,1.06,1.33,0.89,0.9,0.96,1.0
