,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.08,2.78,2.73,2.39,2.02,2.0,0.61,0.43,0.46,0.65,0.46,0.47,0.3,0.41,0.41,0.23
e_1,2.56,1.09,1.49,2.75,2.65,2.17,0.74,0.85,0.5,0.51,0.5,0.67,0.35,0.46,0.64,0.41
f_1,2.36,2.39,1.09,2.64,2.18,1.99,0.57,0.95,0.49,0.5,0.51,0.57,0.26,0.49,0.47,0.38
c_1,3.53,2.33,2.84,1.1,2.85,2.45,0.78,0.74,0.77,0.36,0.59,0.64,0.38,0.51,0.56,0.43
b_1,3.44,3.05,3.56,1.85,1.11,3.53,0.89,0.93,0.83,0.69,1.11,0.69,0.49,0.75,0.73,0.57
a_1,4.84,4.27,5.54,3.9,2.54,1.12,1.3,1.35,1.03,1.05,1.25,0.79,0.82,1.17,0.89,0.63
h_1,8.47,9.15,10.77,8.19,7.81,7.35,1.53,2.37,1.98,1.94,1.78,1.56,1.65,1.6,1.57,1.3
g_1,11.14,10.84,12.11,10.94,10.89,10.14,2.6,1.56,2.4,2.16,2.37,1.95,1.31,2.08,2.15,1.72
c_0,7.16,12.48,11.51,17.43,11.7,11.6,3.73,2.97,1.75,3.66,2.18,2.23,1.6,1.89,2.12,1.48
d_0,15.83,7.84,11.51,13.44,14.2,11.46,4.04,4.27,2.51,1.88,2.65,3.01,2.11,2.61,2.79,2.28
b_0,9.79,13.46,13.05,19.1,15.9,13.66,3.67,3.72,1.68,3.46,1.8,2.45,2.19,2.47,2.52,1.78
f_0,12.73,11.93,19.08,12.65,14.51,12.43,4.07,2.77,2.67,2.81,2.82,1.83,2.15,2.59,2.87,1.45
h_0,17.85,16.44,17.13,19.22,18.84,13.96,6.35,4.96,3.85,3.61,3.62,3.37,3.27,3.24,3.16,2.78
a_0,15.56,17.66,17.82,24.37,23.71,26.03,5.62,4.6,3.07,4.11,2.19,3.7,2.55,2.14,3.52,2.35
e_0,17.51,21.62,27.22,20.97,17.47,14.27,5.25,4.54,3.83,3.68,3.88,2.1,3.4,4.07,2.09,2.62
g_0,18.03,20.27,26.01,21.88,20.91,18.0,4.81,6.4,4.12,4.49,3.95,4.16,2.46,4.19,3.75,3.18
