,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.67,5.84,6.36,4.96,5.62,5.8,2.13,2.91,2.11,2.0,2.16,,1.39,1.86,1.83,1.42
e_1,4.35,0.67,6.94,6.07,6.69,3.99,2.89,3.81,1.92,1.95,1.91,2.6,1.35,1.9,,1.56
c_1,5.31,5.78,0.65,6.93,5.93,7.64,2.98,2.48,1.48,,2.27,1.62,1.56,1.74,2.29,1.84
d_1,5.84,6.96,4.97,0.65,6.77,4.58,2.26,1.86,,2.44,2.67,2.02,2.03,2.06,2.2,1.03
b_1,6.37,5.46,4.63,5.26,0.63,8.44,2.45,2.5,2.58,2.96,,2.53,1.99,1.71,1.91,1.98
a_1,7.99,9.57,5.85,7.78,4.3,0.57,4.1,3.67,3.3,2.35,2.77,2.26,2.23,,2.3,1.76
h_1,5.28,4.46,4.59,5.51,4.87,3.83,0.62,2.21,1.84,1.67,1.99,1.55,,1.61,1.68,1.52
g_1,6.22,5.28,5.53,6.53,5.38,4.99,2.18,0.58,2.08,1.8,1.8,1.97,1.11,,2.15,
d_0,5.17,3.57,5.55,,4.53,4.08,2.07,2.21,0.71,2.02,1.79,1.49,1.38,1.86,1.33,1.36
c_0,5.11,5.05,,3.36,4.02,4.52,2.07,2.52,1.73,0.7,2.04,1.42,1.69,1.83,1.41,1.55
b_0,5.13,4.77,4.54,4.05,,4.79,2.36,2.11,2.24,1.19,0.69,3.03,1.48,1.69,1.8,2.18
f_0,,5.67,5.46,5.69,4.93,5.17,2.86,1.34,1.58,2.37,1.59,0.66,1.71,,1.9,1.37
h_0,4.11,5.85,4.44,3.91,5.33,4.7,,2.62,1.47,1.37,1.5,1.54,,1.66,1.38,1.26
a_0,5.79,6.14,8.17,5.85,5.32,,2.69,,2.67,2.15,1.41,,1.63,0.61,,1.6
e_0,7.58,,5.33,5.37,6.32,5.26,2.57,2.22,2.89,2.35,1.9,1.48,2.1,,0.61,1.46
g_0,5.75,5.1,4.83,8.11,4.36,5.68,1.53,,1.6,1.81,1.48,2.0,1.11,2.33,1.91,
