,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.17,7.51,14.56,14.51,12.94,16.45,2.95,2.52,4.06,2.2,2.1,3.25,2.78,2.73,,1.89
f_1,13.86,0.17,11.9,15.68,15.58,13.26,1.99,2.48,4.35,2.46,2.57,,1.24,2.82,2.25,2.57
d_1,17.68,11.35,0.16,10.86,10.14,11.14,4.78,,2.78,2.78,3.54,1.88,1.88,2.46,2.6,1.15
c_1,12.65,10.13,19.36,0.16,14.22,14.02,4.08,1.54,3.81,,2.67,2.29,1.72,2.86,2.73,1.45
b_1,16.42,13.15,12.85,8.17,0.14,10.48,3.8,3.29,3.04,2.4,,3.01,1.68,2.79,2.51,1.77
a_1,11.85,10.06,14.07,12.68,5.76,0.09,5.27,2.72,3.66,3.32,4.23,3.38,2.25,,,2.69
h_1,3.02,4.04,3.7,3.17,3.8,3.43,0.07,0.68,0.87,0.71,0.77,0.7,,0.6,0.4,0.37
d_0,1.34,2.37,,2.88,2.57,2.2,0.7,0.09,0.7,0.64,0.59,0.63,0.34,0.43,0.56,0.38
g_1,5.35,4.0,2.62,3.05,3.95,3.66,0.87,0.75,0.06,0.71,0.8,0.63,0.31,0.71,0.63,
c_0,2.8,3.14,1.23,,3.13,3.12,0.93,0.51,0.9,0.08,0.48,0.44,0.3,0.44,0.58,0.34
b_0,3.19,2.74,2.59,2.87,,2.33,0.57,0.52,0.94,0.27,0.07,0.44,0.34,0.75,0.66,0.36
f_0,3.01,,2.82,2.09,2.53,3.99,0.75,0.56,0.37,0.51,0.53,0.07,0.3,0.65,,0.2
h_0,1.91,2.06,1.68,1.25,1.79,1.64,,0.29,0.38,0.38,0.28,0.4,,0.26,0.32,0.29
a_0,2.6,3.14,3.98,2.58,3.19,,0.49,0.65,0.76,0.57,0.26,0.47,0.5,0.05,,0.48
e_0,,2.45,2.15,3.52,2.84,,0.75,0.48,0.92,0.4,0.54,,0.3,,0.05,0.5
g_0,1.3,2.7,1.76,2.73,1.77,1.85,0.37,0.29,,0.4,0.29,0.31,0.19,0.44,0.36,
