,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,0.91,1.19,0.99,0.87,0.67,0.41,0.37,0.4,0.41,0.36,0.34,0.32,0.3,0.3,0.3
d_1,1.1,1.0,0.98,0.85,0.9,0.72,0.54,0.38,0.56,0.48,0.39,0.41,0.34,0.36,0.31,0.32
e_1,0.84,1.03,1.0,1.06,0.92,0.7,0.53,0.54,0.46,0.59,0.41,0.44,0.38,0.31,0.36,0.28
c_1,1.01,1.17,0.95,1.0,1.26,0.91,0.52,0.45,0.4,0.31,0.32,0.39,0.34,0.31,0.33,0.35
b_1,1.15,1.11,1.08,0.8,1.0,1.27,0.58,0.51,0.45,0.46,0.46,0.39,0.41,0.34,0.37,0.39
a_1,1.5,1.37,1.43,1.11,0.77,1.0,0.69,0.65,0.51,0.52,0.69,0.45,0.45,0.52,0.43,0.31
h_1,2.47,1.85,1.85,1.88,1.68,1.48,1.0,0.95,0.83,0.79,0.78,0.71,0.64,0.62,0.69,0.59
g_1,2.67,2.72,1.92,2.06,1.97,1.52,1.04,1.0,0.88,0.71,0.82,0.95,0.76,0.76,0.68,0.71
c_0,2.48,1.82,2.11,2.49,1.95,1.98,1.25,1.12,1.0,1.07,1.28,0.99,0.83,0.83,0.69,0.81
d_0,2.46,2.26,1.69,3.29,2.24,1.94,1.29,1.47,0.88,1.0,0.97,0.94,0.87,0.73,0.81,0.88
b_0,2.79,2.55,2.31,3.22,2.25,1.56,1.31,1.1,0.75,1.05,1.0,0.93,0.98,1.29,0.87,0.83
f_0,2.84,2.45,2.26,2.58,2.31,2.33,1.42,1.04,1.02,1.08,1.0,1.0,0.93,0.75,0.74,1.2
h_0,3.12,2.89,2.55,3.05,2.58,2.16,1.52,1.32,1.21,1.21,1.06,1.08,1.0,0.87,1.13,0.89
a_0,3.5,2.87,3.04,3.28,2.75,1.71,1.52,1.3,1.23,1.42,0.78,1.24,1.16,1.0,1.03,1.02
g_0,3.4,3.3,2.77,3.19,2.76,2.35,1.43,1.42,1.43,1.31,1.12,1.38,0.9,0.97,1.0,0.93
e_0,3.6,3.26,3.66,2.96,2.54,3.01,1.75,1.39,1.23,1.09,1.26,0.86,1.13,1.01,1.02,1.0
