,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,104.45,57.02,44.91,76.69,113.94,371.61,7499.06,10949.65,11629.59,28273.12,25291.31,40475.78,89531.3,87621.46,142990.81,146287.94
f_1,43.97,110.52,79.92,92.56,98.53,246.64,7236.61,12240.63,14927.63,15520.82,18696.85,20474.17,70530.33,70440.77,165627.66,79762.48
e_1,47.2,45.84,111.58,99.16,119.36,316.29,8551.48,10850.47,24289.34,18228.38,23451.39,36690.77,76246.21,78439.66,137495.0,81127.82
c_1,41.06,39.02,38.31,175.03,145.91,228.28,7085.65,10391.91,11162.22,6252.21,13401.14,33447.54,70335.88,57249.46,105882.47,110162.27
b_1,39.16,40.03,38.92,61.91,210.87,396.3,5391.8,8838.06,11189.25,11621.22,11029.61,31364.92,58391.76,61427.85,125205.89,104950.23
a_1,26.81,29.76,26.83,52.3,49.84,502.53,4992.72,8306.88,8607.03,9322.81,14126.3,20884.61,43520.68,32366.74,91683.21,82639.94
h_1,12.66,16.92,11.16,23.53,26.08,66.85,3353.07,4223.58,3863.86,3814.48,5105.18,8124.16,16709.43,21118.09,44268.44,34372.28
g_1,14.77,10.67,10.73,21.13,23.76,55.18,1520.44,4849.88,3034.47,3732.37,4595.78,9934.82,16486.55,14943.45,16305.45,30371.26
d_0,7.57,10.9,9.43,32.27,23.51,61.94,1791.78,2629.47,4747.52,3061.94,5062.14,6571.73,18330.85,13734.06,29889.54,35585.27
c_0,9.11,12.51,9.62,15.54,22.13,67.39,2017.77,2482.73,3601.64,4926.59,7589.05,7682.32,18492.89,18964.77,28421.82,34223.64
b_0,9.67,11.77,9.45,19.82,13.73,52.48,1665.94,2390.05,2722.08,2753.83,6239.03,5872.9,17262.95,22912.2,31780.25,22358.33
f_0,8.37,7.34,7.73,13.36,17.34,52.38,1319.69,1859.93,2684.07,2967.31,3897.48,9198.9,13711.11,15261.52,23279.29,45953.54
h_0,6.53,9.91,7.25,10.6,13.45,32.84,756.81,1919.15,1817.83,2245.03,2959.78,4316.62,7885.29,10075.66,24475.48,14202.71
a_0,5.72,7.61,6.92,12.52,12.79,21.13,1050.14,1539.42,2327.01,2353.62,2664.57,4174.78,11391.59,16653.76,19214.7,16575.44
g_0,7.33,4.61,5.57,11.22,11.05,28.67,705.36,1186.18,1412.76,1984.16,2411.32,5519.65,8367.89,8785.74,13604.31,15285.14
e_0,5.87,6.96,3.91,8.96,12.09,31.36,825.35,1349.41,1377.63,1625.0,2797.36,2920.82,10592.37,7984.82,14117.85,25237.99
