,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.94,0.65,0.4,0.43,0.33,0.29,0.23,0.24,0.24,0.24,0.23,0.13,0.18,0.19,0.12,0.2
e_1,0.38,0.94,0.34,0.47,0.44,0.28,0.3,0.23,0.27,0.44,0.27,0.22,0.23,0.23,0.13,0.21
d_1,0.5,0.45,0.94,0.37,0.35,0.3,0.29,0.22,0.41,0.15,0.29,0.26,0.19,0.23,0.18,0.18
c_1,0.38,0.43,0.44,0.94,0.66,0.26,0.24,0.18,0.12,0.22,0.18,0.2,0.18,0.24,0.15,0.2
b_1,0.5,0.37,0.51,0.39,0.94,0.44,0.26,0.24,0.27,0.26,0.15,0.23,0.18,0.27,0.22,0.23
a_1,0.55,0.46,0.52,0.5,0.35,0.93,0.36,0.31,0.31,0.32,0.29,0.25,0.13,0.28,0.22,0.26
h_1,0.93,0.6,0.76,0.65,0.57,0.36,0.75,0.5,0.43,0.39,0.39,0.31,0.26,0.27,0.27,0.39
g_1,0.77,0.6,1.0,0.78,0.57,0.42,0.37,0.75,0.36,0.36,0.42,0.49,0.28,0.33,0.34,0.23
c_0,0.83,0.7,0.69,0.54,0.5,0.5,0.53,0.52,0.67,0.46,0.7,0.4,0.43,0.43,0.32,0.36
d_0,0.75,0.6,0.49,1.15,0.65,0.5,0.57,0.42,0.33,0.66,0.4,0.36,0.31,0.4,0.25,0.34
b_0,0.9,0.71,0.8,0.86,0.44,0.39,0.5,0.43,0.41,0.48,0.65,0.43,0.62,0.45,0.28,0.33
f_0,0.66,0.71,0.81,0.86,0.64,0.56,0.55,0.48,0.5,0.47,0.43,0.62,0.39,0.49,0.56,0.33
a_0,0.92,0.67,0.94,0.82,0.83,0.36,0.63,0.51,0.47,0.46,0.39,0.41,0.62,0.52,0.35,0.38
h_0,1.2,0.74,0.9,0.71,0.59,0.56,0.4,0.64,0.48,0.49,0.49,0.36,0.34,0.33,0.36,0.46
e_0,1.06,0.45,0.93,1.02,0.59,0.53,0.64,0.54,0.47,0.57,0.51,0.39,0.38,0.42,0.65,0.43
g_0,0.78,0.75,1.3,0.82,0.7,0.55,0.56,0.38,0.51,0.41,0.52,0.61,0.4,0.38,0.36,0.3
