,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.82,0.98,1.14,0.94,0.82,0.69,0.85,0.66,0.62,0.65,0.72,0.6,0.53,0.61,0.6
f_1,1.23,1.0,0.91,0.98,0.88,0.74,0.62,0.67,0.67,0.6,0.65,0.57,0.52,0.52,0.59,0.48
d_1,1.01,1.07,1.0,0.95,0.89,0.84,0.69,0.68,0.61,0.83,0.65,0.62,0.58,0.61,0.48,0.57
c_1,0.89,1.03,1.08,1.0,1.29,0.91,0.75,0.51,0.68,0.6,0.58,0.63,0.59,0.57,0.57,0.52
b_1,1.06,1.12,1.12,0.79,1.0,1.27,0.8,0.63,0.7,0.83,0.71,0.67,0.65,0.55,0.62,0.67
a_1,1.2,1.33,1.18,1.06,0.8,1.0,0.79,0.85,0.78,0.73,0.78,0.76,0.8,0.74,0.67,0.63
h_1,1.47,1.6,1.46,1.29,1.23,1.23,1.0,0.95,1.08,0.87,0.9,0.9,0.9,0.78,0.96,0.8
d_0,1.2,1.46,1.5,1.93,1.65,1.14,1.08,1.0,1.03,0.79,0.92,0.96,0.91,0.9,0.92,0.88
g_1,1.5,1.5,1.69,1.52,1.35,1.23,0.93,0.93,1.0,0.99,0.95,1.1,0.78,0.88,0.82,0.85
c_0,1.55,1.7,1.21,1.71,1.27,1.42,1.17,1.25,1.0,1.0,1.33,1.08,1.03,0.97,0.95,1.01
b_0,1.48,1.56,1.48,1.74,1.44,1.27,1.16,1.07,1.08,0.76,1.0,1.01,0.96,1.13,0.96,0.86
f_0,1.44,1.69,1.64,1.6,1.48,1.3,1.11,1.04,0.9,0.92,1.01,1.0,0.9,0.86,0.76,1.21
h_0,1.72,1.84,1.69,1.69,1.47,1.26,1.15,1.06,1.25,0.98,1.03,1.1,1.0,0.88,1.08,0.95
a_0,1.8,1.9,1.65,1.76,1.84,1.28,1.27,1.09,1.24,1.01,0.87,1.19,1.2,1.0,1.0,0.99
g_0,1.63,1.66,2.03,1.8,1.75,1.44,1.03,1.1,1.25,1.04,1.01,1.26,0.94,1.01,1.0,1.2
e_0,1.77,1.98,1.79,1.89,1.6,1.5,1.26,1.1,1.13,0.99,1.07,0.79,1.07,0.99,0.85,1.0
