,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,1.0,1.41,1.1,0.87,0.79,0.84,0.56,0.73,0.71,0.63,,0.68,0.48,0.5,0.46,0.54
e_1,0.71,1.0,1.06,0.94,0.9,0.74,0.7,0.67,0.96,0.61,0.74,0.62,0.63,0.5,,0.47
d_1,0.91,0.94,1.0,1.05,0.88,0.85,0.77,0.62,,0.93,0.72,0.52,0.58,0.56,0.57,0.4
c_1,1.15,1.07,0.95,1.0,1.39,0.88,0.71,0.71,0.47,,0.78,0.62,0.64,0.58,0.51,0.56
b_1,1.26,1.11,1.13,0.72,1.0,1.25,0.79,0.68,0.82,0.65,0.58,,0.73,0.55,0.58,
a_1,1.19,1.34,1.18,1.14,0.8,1.0,1.01,0.63,0.49,0.76,0.82,0.82,0.89,,,0.68
h_1,1.79,1.43,1.3,1.41,1.27,0.99,1.0,1.14,0.96,0.88,0.91,0.84,,0.83,0.75,0.74
g_1,1.36,1.49,1.6,1.41,1.47,1.58,0.87,1.0,0.76,1.09,1.07,0.91,0.68,1.08,1.03,
d_0,1.41,1.04,,2.11,1.23,2.02,1.04,1.31,1.0,1.05,1.21,0.84,0.74,0.87,0.7,1.03
c_0,1.58,1.63,1.08,,1.55,1.32,1.13,0.92,0.95,1.0,0.85,1.63,0.78,1.18,0.98,0.7
f_0,,1.35,1.39,1.28,1.72,1.22,1.1,0.94,0.83,1.18,1.0,0.99,1.12,0.91,1.36,0.96
b_0,1.48,1.61,1.92,1.62,,1.22,1.18,1.1,1.18,0.61,1.01,1.0,1.02,,0.79,0.88
h_0,2.07,1.59,1.72,1.57,1.36,1.13,,1.47,1.35,1.28,0.89,0.98,,0.69,0.74,1.36
a_0,2.0,1.99,1.78,1.72,1.81,,1.21,0.93,1.14,0.85,1.09,,1.46,1.0,1.08,
e_0,2.2,,1.74,1.97,1.73,,1.33,0.97,1.42,1.02,0.73,1.27,1.35,0.92,1.0,
g_0,1.84,2.13,2.48,1.8,,1.48,1.35,,0.97,1.42,1.04,1.13,0.73,,,
