,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,2.47,2.11,1.39,1.38,1.32,1.37,2.67,2.78,3.47,2.93,2.58,3.23,3.66,2.61,3.41,3.88
e_1,1.42,2.47,1.85,1.31,1.46,1.57,2.78,2.84,4.99,3.0,3.47,3.17,3.87,2.97,3.64,4.13
c_1,1.53,1.26,2.54,1.54,2.4,1.22,2.92,2.82,2.65,2.15,2.98,2.49,4.01,3.38,3.17,4.13
d_1,1.62,1.47,1.24,2.58,1.4,1.36,3.05,2.53,2.95,5.23,3.36,3.52,4.06,3.53,3.12,4.38
b_1,1.54,1.48,1.3,1.43,2.75,2.65,3.2,2.65,2.71,3.06,3.09,2.52,3.8,3.23,2.96,3.84
a_1,1.63,1.54,1.8,1.56,1.08,3.38,3.07,3.37,3.54,2.76,3.42,3.82,4.11,3.59,2.61,3.6
h_1,1.89,1.55,1.45,1.56,1.39,1.45,4.21,3.82,3.11,3.25,3.28,3.51,3.55,3.25,3.2,4.95
g_1,1.48,1.41,1.54,2.22,1.46,1.43,2.49,4.6,2.67,3.6,4.7,3.63,3.53,3.63,3.55,3.51
d_0,1.47,1.35,2.51,1.14,1.69,1.53,3.08,3.37,4.09,2.53,3.58,3.44,4.28,3.27,3.49,4.01
c_0,1.85,1.57,1.61,1.44,1.2,1.59,2.87,3.07,3.65,4.46,3.24,5.85,4.53,4.09,4.24,4.65
f_0,1.36,1.36,1.8,1.67,1.68,1.51,3.07,2.66,3.41,3.36,4.54,3.95,4.47,5.79,3.45,3.91
b_0,1.64,1.56,1.87,1.71,1.1,1.28,3.01,3.34,3.53,2.99,3.07,4.69,5.0,3.23,6.27,3.87
h_0,1.9,1.46,1.56,1.65,1.59,1.36,2.82,3.9,3.39,3.18,3.28,3.29,3.86,3.6,3.84,5.02
e_0,1.75,1.41,1.48,1.86,1.66,1.57,3.04,3.22,3.24,3.41,3.31,4.27,4.79,5.25,3.83,3.99
a_0,1.67,1.33,1.6,1.88,1.56,1.31,3.41,3.32,3.62,3.35,3.32,3.03,4.73,3.64,5.2,4.28
g_0,1.4,1.39,1.49,1.98,1.57,1.58,2.73,2.7,3.29,3.59,4.45,3.91,4.1,4.15,3.97,3.41
